Lab;Chemical;Compound;Category;Exp;c1;c2;Conc.;Rep;valid;Viability;IL-18;FI;Dunnett
1;Toluene disicyanate;1;N;1;1.1;1.1;125;1;Yes;99.132;21.91;0.969;ns
1;Toluene disicyanate;1;N;1;1.1;1.1;125;2;Yes;90.077;20.48;0.906;
1;Toluene disicyanate;1;N;1;1.1;1.1;125;3;Yes;98.96;21.073;0.932;
1;Toluene disicyanate;1;N;1;1.1;1.1;125;4;Yes;94.648;23.28;1.029;
1;Toluene disicyanate;1;N;1;1.2;1.1;250;1;Yes;77.314;19.609;0.867;ns
1;Toluene disicyanate;1;N;1;1.2;1.1;250;2;Yes;76.451;22.096;0.977;
1;Toluene disicyanate;1;N;1;1.2;1.1;250;3;Yes;89.215;22.762;1.007;
1;Toluene disicyanate;1;N;1;1.2;1.1;250;4;Yes;91.457;23.811;1.053;
1;Toluene disicyanate;1;N;1;1.3;1.1;500;1;Yes;68.474;19.972;0.883;ns
1;Toluene disicyanate;1;N;1;1.3;1.1;500;2;Yes;68;21.411;0.947;
1;Toluene disicyanate;1;N;1;1.3;1.1;500;3;Yes;69.25;20.694;0.915;
1;Toluene disicyanate;1;N;1;1.3;1.1;500;4;Yes;82.747;18.751;0.829;
1;Toluene disicyanate;1;N;1;1.4;1.1;1000;1;Yes;88.568;20.391;0.902;ns
1;Toluene disicyanate;1;N;1;1.4;1.1;1000;2;Yes;79.858;19.769;0.874;
1;Toluene disicyanate;1;N;1;1.4;1.1;1000;3;Yes;84.773;21.825;0.965;
1;Toluene disicyanate;1;N;1;1.4;1.1;1000;4;Yes;91.716;21.886;0.968;
1;Toluene disicyanate;1;N;2;1.1;1.2;125;1;Yes;98.644;18.808;0.972;ns
1;Toluene disicyanate;1;N;2;1.1;1.2;125;2;Yes;109.947;19.952;1.032;
1;Toluene disicyanate;1;N;2;1.1;1.2;125;3;Yes;97.099;17.038;0.881;
1;Toluene disicyanate;1;N;2;1.1;1.2;125;4;Yes;115.335;18.926;0.978;
1;Toluene disicyanate;1;N;2;1.2;1.2;250;1;Yes;95.893;18.429;0.953;ns
1;Toluene disicyanate;1;N;2;1.2;1.2;250;2;Yes;91.183;18.328;0.948;
1;Toluene disicyanate;1;N;2;1.2;1.2;250;3;Yes;94.725;21.664;1.12;
1;Toluene disicyanate;1;N;2;1.2;1.2;250;4;Yes;98.945;17.319;0.895;
1;Toluene disicyanate;1;N;2;1.3;1.2;500;1;Yes;93.029;20.032;1.036;ns
1;Toluene disicyanate;1;N;2;1.3;1.2;500;2;Yes;89.261;18.546;0.959;
1;Toluene disicyanate;1;N;2;1.3;1.2;500;3;Yes;92.427;18.461;0.954;
1;Toluene disicyanate;1;N;2;1.3;1.2;500;4;Yes;91.409;19.425;1.004;
1;Toluene disicyanate;1;N;2;1.4;1.2;1000;1;Yes;97.061;17.125;0.885;ns
1;Toluene disicyanate;1;N;2;1.4;1.2;1000;2;Yes;97.702;17.863;0.923;
1;Toluene disicyanate;1;N;2;1.4;1.2;1000;3;Yes;94.235;17.349;0.897;
1;Toluene disicyanate;1;N;2;1.4;1.2;1000;4;Yes;93.67;17.477;0.904;
1;Toluene disicyanate;1;N;3;1.1;1.3;125;1;Yes;99.841;19.775;0.974;ns
1;Toluene disicyanate;1;N;3;1.1;1.3;125;2;Yes;96.325;18.52;0.912;
1;Toluene disicyanate;1;N;3;1.1;1.3;125;3;Yes;93.445;23.457;1.155;
1;Toluene disicyanate;1;N;3;1.1;1.3;125;4;Yes;97.384;22.957;1.13;
1;Toluene disicyanate;1;N;3;1.2;1.3;250;1;Yes;88.192;17.937;0.883;ns
1;Toluene disicyanate;1;N;3;1.2;1.3;250;2;Yes;91.327;21.179;1.043;
1;Toluene disicyanate;1;N;3;1.2;1.3;250;3;Yes;91.369;20.101;0.99;
1;Toluene disicyanate;1;N;3;1.2;1.3;250;4;Yes;96.579;23.417;1.153;
1;Toluene disicyanate;1;N;3;1.3;1.3;500;1;Yes;96.114;19.934;0.981;ns
1;Toluene disicyanate;1;N;3;1.3;1.3;500;2;Yes;94.589;19.7;0.97;
1;Toluene disicyanate;1;N;3;1.3;1.3;500;3;Yes;93.021;19.649;0.967;
1;Toluene disicyanate;1;N;3;1.3;1.3;500;4;Yes;95.902;21.351;1.051;
1;Toluene disicyanate;1;N;3;1.4;1.3;1000;1;Yes;97.554;20.529;1.011;ns
1;Toluene disicyanate;1;N;3;1.4;1.3;1000;2;Yes;100.434;19.765;0.973;
1;Toluene disicyanate;1;N;3;1.4;1.3;1000;3;Yes;98.02;19.149;0.943;
1;Toluene disicyanate;1;N;3;1.4;1.3;1000;4;Yes;92.894;21.039;1.036;
1;Chlorobenzene;2;N;1;2.1;2.1;125;1;Yes;102.194;22.817;1.072;ns
1;Chlorobenzene;2;N;1;2.1;2.1;125;2;Yes;88.956;21.953;1.031;
1;Chlorobenzene;2;N;1;2.1;2.1;125;3;Yes;100.124;25.261;1.187;
1;Chlorobenzene;2;N;1;2.1;2.1;125;4;Yes;99.305;24.37;1.145;
1;Chlorobenzene;2;N;1;2.2;2.1;250;1;Yes;93.527;23.127;1.087;ns
1;Chlorobenzene;2;N;1;2.2;2.1;250;2;Yes;85.593;21.481;1.009;
1;Chlorobenzene;2;N;1;2.2;2.1;250;3;Yes;98.184;22.159;1.041;
1;Chlorobenzene;2;N;1;2.2;2.1;250;4;Yes;95.079;19.422;0.912;
1;Chlorobenzene;2;N;1;2.3;2.1;500;1;Yes;87.792;24.856;1.168;ns
1;Chlorobenzene;2;N;1;2.3;2.1;500;2;Yes;81.669;21.963;1.032;
1;Chlorobenzene;2;N;1;2.3;2.1;500;3;Yes;82.66;18.879;0.887;
1;Chlorobenzene;2;N;1;2.3;2.1;500;4;Yes;89.517;23.227;1.091;
1;Chlorobenzene;2;N;1;2.4;2.1;1000;1;Yes;77.788;28.581;1.343;ns
1;Chlorobenzene;2;N;1;2.4;2.1;1000;2;Yes;69.035;15.737;0.739;
1;Chlorobenzene;2;N;1;2.4;2.1;1000;3;Yes;83.523;15.196;0.714;
1;Chlorobenzene;2;N;1;2.4;2.1;1000;4;Yes;88.223;24.526;1.152;
1;Chlorobenzene;2;N;2;2.1;2.2;125;1;Yes;96.986;21.621;1.083;ns
1;Chlorobenzene;2;N;2;2.1;2.2;125;2;Yes;91.258;20.898;1.047;
1;Chlorobenzene;2;N;2;2.1;2.2;125;3;Yes;96.609;20.66;1.035;
1;Chlorobenzene;2;N;2;2.1;2.2;125;4;Yes;90.317;18.048;0.904;
1;Chlorobenzene;2;N;2;2.2;2.2;250;1;Yes;96.722;21.825;1.093;ns
1;Chlorobenzene;2;N;2;2.2;2.2;250;2;Yes;94.612;21.138;1.059;
1;Chlorobenzene;2;N;2;2.2;2.2;250;3;Yes;94.725;19.428;0.973;
1;Chlorobenzene;2;N;2;2.2;2.2;250;4;Yes;91.032;22.793;1.142;
1;Chlorobenzene;2;N;2;2.3;2.2;500;1;Yes;89.751;23.667;1.185;s
1;Chlorobenzene;2;N;2;2.3;2.2;500;2;Yes;88.772;20.844;1.044;
1;Chlorobenzene;2;N;2;2.3;2.2;500;3;Yes;88.357;21.93;1.098;
1;Chlorobenzene;2;N;2;2.3;2.2;500;4;Yes;86.096;25.06;1.255;
1;Chlorobenzene;2;N;2;2.4;2.2;1000;1;Yes;91.032;17.965;0.9;ns
1;Chlorobenzene;2;N;2;2.4;2.2;1000;2;Yes;94.16;20.571;1.03;
1;Chlorobenzene;2;N;2;2.4;2.2;1000;3;Yes;96.119;20.055;1.004;
