"","SRR1039508","SRR1039509","SRR1039512","SRR1039513","SRR1039516","SRR1039517","SRR1039520","SRR1039521"
"ENSG00000000003.14",719,472,913,429,1195,1103,812,608
"ENSG00000000419.12",466,515,622,364,589,793,419,510
"ENSG00000000457.13",324,276,372,224,356,447,306,296
"ENSG00000000460.16",92,73,57,46,108,95,101,81
"ENSG00000000938.12",0,0,2,0,1,0,0,0
"ENSG00000000971.15",3292,3740,6130,4251,6680,10970,5066,7882
"ENSG00000001036.13",2342,1661,2712,1379,2234,2241,2157,1769
"ENSG00000001084.10",554,399,638,531,883,760,723,754
"ENSG00000001167.14",438,273,514,190,727,634,401,293
"ENSG00000001460.17",183,173,277,126,247,223,165,180
"ENSG00000001461.16",2173,1933,5314,2732,2843,2850,2545,3025
"ENSG00000001497.16",523,490,629,359,676,794,493,478
"ENSG00000001561.6",73,52,215,156,23,38,134,177
"ENSG00000001617.11",554,398,906,424,730,703,620,599
"ENSG00000001626.14",14,6,16,6,13,6,8,7
"ENSG00000001629.9",1684,1275,2280,1091,2492,2539,1911,1689
"ENSG00000001630.15",1035,823,1134,621,1480,1292,911,766
"ENSG00000001631.15",798,746,998,511,1081,1225,785,802
"ENSG00000002016.17",200,159,256,101,270,263,159,142
"ENSG00000002079.14",2,0,2,1,2,0,0,0
"ENSG00000002330.13",768,664,800,424,757,963,623,669
"ENSG00000002549.12",1455,1265,1263,948,1438,1793,810,978
"ENSG00000002586.18",3790,3642,4783,3144,5536,6464,3439,3659
"ENSG00000002586.18_PAR_Y",3789,3641,4784,3143,5535,6464,3439,3659
"ENSG00000002587.9",2,3,2,1,1,3,1,2
"ENSG00000002726.20",1,0,4,2,0,1,0,4
"ENSG00000002745.12",4,6,22,10,2,1,5,3
"ENSG00000002746.14",169,156,131,74,100,120,97,130
"ENSG00000002822.15",412,304,446,197,448,526,286,307
"ENSG00000002834.17",7581,7591,9237,7162,8017,14280,6936,9378
"ENSG00000002919.14",233,245,296,212,221,375,184,266
"ENSG00000002933.7",1279,1541,653,435,28,28,74,113
"ENSG00000003056.7",2034,1698,2114,1289,2136,2595,1606,1626
"ENSG00000003096.14",605,339,605,179,552,319,545,249
"ENSG00000003137.8",129,57,255,63,30,46,194,72
"ENSG00000003147.17",6,5,10,5,6,14,10,10
"ENSG00000003249.13",86,70,223,81,112,121,165,132
"ENSG00000003393.14",773,724,797,544,1126,1507,777,870
"ENSG00000003400.14",105,65,135,79,73,62,101,77
