year,infant_mortality,life_expectancy,fertility,population,continent
1960,115.4,62.87,6.19,1636054,Europe
1960,148.2,47.5,7.65,11124892,Africa
1960,208,35.98,7.32,5270844,Africa
1960,NA,62.97,4.43,54681,Americas
1960,59.87,65.39,3.11,20619075,Americas
1960,NA,66.86,4.55,1867396,Asia
1960,NA,65.66,4.82,54208,Americas
1960,20.3,70.87,3.45,10292328,Oceania
1960,37.3,68.75,2.7,7065525,Europe
1960,NA,61.33,5.57,3897889,Asia
1960,51,62,4.5,109526,Americas
1960,134.5,51.64,7.09,162501,Asia
1960,176.3,46.2,6.73,48200702,Asia
1960,69.5,61.8,4.33,230934,Americas
1960,NA,71.59,2.74,8190027,Europe
1960,29.5,69.59,2.6,9140563,Europe
1960,NA,60.08,6.5,92068,Americas
1960,186.9,38.29,6.28,2431620,Africa
1960,175,35.94,6.67,224108,Asia
1960,173.4,43.77,6.7,3693451,Americas
1960,105,62.56,4.05,3214520,Europe
1960,115.5,50.34,6.62,524029,Africa
1960,129.4,55.27,6.21,72493585,Americas
1960,63,62.52,6.49,81825,Asia
1960,49,69.22,2.25,7866472,Europe
1960,161.3,35.21,6.29,4829291,Africa
1960,145.1,40.58,6.95,2786740,Africa
1960,NA,42.29,6.97,5722370,Asia
1960,166.9,43.46,5.65,5361367,Africa
1960,27.8,71,3.91,17909232,Americas
1960,NA,50.12,6.89,202316,Africa
1960,165.5,37.43,5.84,1503501,Africa
1960,NA,40.95,6.25,3002596,Africa
1960,127.6,56.85,5.58,7695692,Americas
1960,190,30.53,3.99,644450173,Asia
1960,89.3,58.03,6.81,16480384,Americas
1960,200,44.04,6.79,188732,Africa
1960,174,43.9,6,15248246,Africa
1960,110.6,48.25,5.88,1013581,Africa
1960,86.54,61.97,7.31,1333042,Americas
1960,208.4,38,7.35,3474724,Africa
1960,70,64.85,2.33,4192634,Europe
1960,37,63.85,4.18,7141129,Americas
1960,30,69.72,3.5,572929,Asia
1960,22,70.58,2.3,9578587,Europe
1960,21.3,72.28,2.54,4580708,Europe
1960,NA,45.77,6.46,83636,Africa
1960,102.1,53.37,7.56,3294039,Americas
1960,121.4,54.09,6.69,4545548,Americas
1960,209.6,48.31,6.63,27072397,Africa
1960,126.2,52.02,6.73,2762897,Americas
1960,NA,37.69,5.51,252115,Africa
1960,NA,39.03,6.9,1407631,Africa
1960,40,69.42,1.95,1216831,Europe
1960,162,37.72,6.88,22151218,Africa
1960,54,55.7,6.46,393383,Oceania
1960,21.9,69.03,2.71,4430228,Europe
1960,23.7,70.49,2.77,45865699,Europe
1960,NA,56.28,5.66,78083,Oceania
1960,NA,38.83,4.38,499189,Africa
1960,148.4,35.7,5.57,367929,Africa
1960,NA,63.5,2.96,4159769,Asia
1960,34,69.26,2.41,73179665,Europe
1960,125.1,46.34,6.75,6652285,Africa
1960,48.3,68.41,2.22,8311386,Europe
1960,NA,61.49,7.25,31238,Americas
1960,NA,60.59,6.74,89861,Americas
1960,146,46.51,6.53,4127555,Americas
1960,NA,35.71,6.1,3577413,Africa
1960,NA,43.14,5.83,616407,Africa
1960,67.7,59.08,5.67,564222,Americas
1960,194.8,42.1,6.32,3866160,Americas
1960,140.9,47.71,7.46,2002333,Americas
1960,NA,67.45,5.16,3075752,Asia
1960,53.4,68.13,2.05,10001270,Europe
1960,17.5,74.22,4.13,175520,Europe
1960,165.1,41.26,5.87,449661874,Asia
1960,148.4,45.01,5.67,87792512,Asia
1960,191.61,46,6.93,21906905,Asia
1960,131.7,46.96,6.25,7289759,Asia
1960,30.4,70.76,3.86,2819059,Europe
1960,32,68.55,3.84,2089891,Asia
1960,44.2,69.19,2.37,49714962,Europe
1960,62,65.91,5.42,1630914,Americas
1960,30.4,67.78,2,92500754,Asia
1960,107.5,53.3,7.69,888632,Asia
1960,NA,58.91,4.56,9995997,Asia
1960,118.6,47.42,7.95,8105440,Africa
1960,NA,45.84,6.95,41234,Oceania
1960,80.2,53.02,6.16,25074028,Asia
1960,101.6,62.15,7.25,261962,Asia
1960,NA,56.09,5.17,2172500,Asia
1960,155,42.13,5.96,2119944,Asia
1960,35,70.37,1.9,2132368,Europe
1960,57.6,62.9,5.74,1804927,Asia
1960,143.3,47.02,5.84,851412,Africa
1960,212,35.24,6.41,1120314,Africa
1960,164.5,44.59,7.54,1434576,Africa
1960,52,70.33,2.55,2770737,Europe
1960,33,68.99,2.35,314586,Europe
1960,NA,64.93,4.95,171456,Asia
1960,120,60.85,3.72,1488664,Europe
1960,112,41.96,7.3,5099371,Africa
1960,218.2,38.51,6.91,3618604,Africa
1960,67.4,59.89,6.19,8160975,Asia
1960,NA,38.07,7.02,89875,Asia
1960,237.4,29.61,6.7,5263730,Africa
1960,36.4,68.32,3.53,312788,Europe
1960,135,43.91,6.78,858170,Africa
1960,67.8,58.74,6.17,660023,Africa
1960,100.6,57.34,6.78,38174114,Americas
1960,NA,56.82,6.93,44539,Oceania
1960,NA,62.22,3.33,3003557,Europe
1960,NA,49.2,6.95,955514,Asia
