Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
__no_feature,,867229,854633,819744,806704,856626,843615,892609,873879
__ambiguous,,12216,11335,11221,10822,11483,11072,14320,13121
__too_low_aQual,,0,0,0,0,0,0,0,0
__not_aligned,,0,0,0,0,0,0,0,0
__alignment_not_unique,,913888,882929,862699,833801,809130,781740,1130633,1089375
sum joined counts,,762540,750451,726859,713900,737025,724508,784406,770492
,,JAWSII untreated F,JAWSII untreated R,JAWSII LPS F,JAWSII LPS R,EL4 untreated F,EL4 untreated R,EL4 JAWSIILPS SUP F,EL4 JAWSIILPS SUP R
gene_id,gene_name,HU_1-NS-012-053_S53_L001_R1_001.fastq.count,HU_1-NS-012-053_S53_L001_R2_001.fastq.count,HU_2-NS-012-054_S54_L001_R1_001.fastq.count,HU_2-NS-012-054_S54_L001_R2_001.fastq.count,HU_3-NS-012-055_S55_L001_R1_001.fastq.count,HU_3-NS-012-055_S55_L001_R2_001.fastq.count,HU_4-NS-012-056_S56_L001_R1_001.fastq.count,HU_4-NS-012-056_S56_L001_R2_001.fastq.count
ENSMUSG00000000001,Gnai3,489,532,535,465,413,380,51,56
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,70,76,68,81,71,69,74,80
ENSMUSG00000000031,H19,0,0,0,0,0,0,0,0
ENSMUSG00000000037,Scml2,0,0,0,0,0,0,0,0
ENSMUSG00000000049,Apoh,2,1,2,1,3,2,3,0
ENSMUSG00000000056,Narf,59,53,38,31,44,31,8,5
ENSMUSG00000000058,Cav2,0,0,0,0,0,0,0,0
ENSMUSG00000000078,Klf6,36,30,17,10,25,23,43,42
ENSMUSG00000000085,Scmh1,0,0,0,0,0,0,0,0
ENSMUSG00000000088,Cox5a,318,210,268,258,246,248,377,339
ENSMUSG00000000093,Tbx2,0,0,0,0,0,0,0,0
ENSMUSG00000000094,Tbx4,0,0,0,0,0,0,0,0
ENSMUSG00000000103,Zfy2,0,0,0,0,0,0,0,0
ENSMUSG00000000120,Ngfr,0,0,0,0,0,0,0,0
ENSMUSG00000000125,Wnt3,0,0,0,0,0,0,0,0
ENSMUSG00000000126,Wnt9a,0,0,0,0,0,0,0,0
ENSMUSG00000000127,Fer,0,0,0,0,0,0,0,0
ENSMUSG00000000131,Xpo6,41,27,23,33,32,36,17,12
ENSMUSG00000000134,Tfe3,0,0,0,0,10,7,6,3
ENSMUSG00000000142,Axin2,5,2,1,0,2,3,4,7
ENSMUSG00000000148,Brat1,22,28,43,29,18,23,21,13
ENSMUSG00000000149,Gna12,1,0,18,17,4,5,2,5
ENSMUSG00000000154,Slc22a18,0,0,0,0,0,0,0,0
ENSMUSG00000000157,Itgb2l,0,0,0,0,0,0,0,0
ENSMUSG00000000159,Igsf5,2,1,0,0,0,0,0,0
ENSMUSG00000000167,Pih1d2,0,0,0,0,0,0,2,4
ENSMUSG00000000168,Dlat,247,274,212,239,257,251,72,73
ENSMUSG00000000171,Sdhd,557,609,531,539,503,487,440,411
ENSMUSG00000000182,Fgf23,0,0,0,0,0,0,0,0
ENSMUSG00000000183,Fgf6,0,0,0,0,0,0,0,0
ENSMUSG00000000184,Ccnd2,707,709,679,590,493,502,889,848
ENSMUSG00000000194,Gpr107,53,40,25,26,46,30,63,46
ENSMUSG00000000197,Nalcn,0,0,0,0,0,0,0,0
ENSMUSG00000000202,Btbd17,0,0,0,0,0,0,0,0
ENSMUSG00000000204,Slfn4,0,0,0,0,0,0,0,0
ENSMUSG00000000214,Th,0,0,0,0,0,0,0,0
ENSMUSG00000000215,Ins2,0,0,0,0,0,0,0,0
ENSMUSG00000000216,Scnn1g,0,0,0,0,0,0,0,0
ENSMUSG00000000223,Drp2,0,0,0,0,0,0,0,0
ENSMUSG00000000244,Tspan32,308,305,315,286,246,255,484,484
ENSMUSG00000000247,Lhx2,0,0,0,0,0,0,0,0
ENSMUSG00000000248,Clec2g,0,0,0,0,0,0,0,0
ENSMUSG00000000253,Gmpr,0,0,0,0,0,0,0,0
ENSMUSG00000000263,Glra1,0,0,0,0,0,0,0,0
ENSMUSG00000000266,Mid2,0,0,0,0,0,0,0,0
ENSMUSG00000000275,Trim25,16,17,30,39,48,41,20,17
ENSMUSG00000000276,Dgke,27,24,19,11,17,15,5,5
ENSMUSG00000000278,Scpep1,48,46,72,61,98,80,40,37
ENSMUSG00000000282,Mnt,0,0,0,0,3,1,0,1
ENSMUSG00000000290,Itgb2,189,193,311,250,235,236,52,41
ENSMUSG00000000295,Hddc2,125,122,130,115,104,111,181,194
ENSMUSG00000000296,Tpd52l1,0,0,0,0,0,0,0,0
ENSMUSG00000000301,Pemt,4,4,9,8,2,0,7,3
