gene_id	HU_1-NS-012-053_S53_L001_R1_001.fastq.count	HU_1-NS-012-053_S53_L001_R2_001.fastq.count	HU_2-NS-012-054_S54_L001_R1_001.fastq.count	HU_2-NS-012-054_S54_L001_R2_001.fastq.count	HU_3-NS-012-055_S55_L001_R1_001.fastq.count	HU_3-NS-012-055_S55_L001_R2_001.fastq.count	HU_4-NS-012-056_S56_L001_R1_001.fastq.count	HU_4-NS-012-056_S56_L001_R2_001.fastq.count
ENSMUSG00000000001	489	532	535	465	413	380	51	56
ENSMUSG00000000003	0	0	0	0	0	0	0	0
ENSMUSG00000000028	70	76	68	81	71	69	74	80
ENSMUSG00000000031	0	0	0	0	0	0	0	0
ENSMUSG00000000037	0	0	0	0	0	0	0	0
ENSMUSG00000000049	2	1	2	1	3	2	3	0
ENSMUSG00000000056	59	53	38	31	44	31	8	5
ENSMUSG00000000058	0	0	0	0	0	0	0	0
ENSMUSG00000000078	36	30	17	10	25	23	43	42
ENSMUSG00000000085	0	0	0	0	0	0	0	0
ENSMUSG00000000088	318	210	268	258	246	248	377	339
ENSMUSG00000000093	0	0	0	0	0	0	0	0
ENSMUSG00000000094	0	0	0	0	0	0	0	0
ENSMUSG00000000103	0	0	0	0	0	0	0	0
ENSMUSG00000000120	0	0	0	0	0	0	0	0
ENSMUSG00000000125	0	0	0	0	0	0	0	0
ENSMUSG00000000126	0	0	0	0	0	0	0	0
ENSMUSG00000000127	0	0	0	0	0	0	0	0
ENSMUSG00000000131	41	27	23	33	32	36	17	12
ENSMUSG00000000134	0	0	0	0	10	7	6	3
ENSMUSG00000000142	5	2	1	0	2	3	4	7
ENSMUSG00000000148	22	28	43	29	18	23	21	13
ENSMUSG00000000149	1	0	18	17	4	5	2	5
ENSMUSG00000000154	0	0	0	0	0	0	0	0
ENSMUSG00000000157	0	0	0	0	0	0	0	0
ENSMUSG00000000159	2	1	0	0	0	0	0	0
ENSMUSG00000000167	0	0	0	0	0	0	2	4
ENSMUSG00000000168	247	274	212	239	257	251	72	73
ENSMUSG00000000171	557	609	531	539	503	487	440	411
ENSMUSG00000000182	0	0	0	0	0	0	0	0
ENSMUSG00000000183	0	0	0	0	0	0	0	0
ENSMUSG00000000184	707	709	679	590	493	502	889	848
ENSMUSG00000000194	53	40	25	26	46	30	63	46
ENSMUSG00000000197	0	0	0	0	0	0	0	0
ENSMUSG00000000202	0	0	0	0	0	0	0	0
ENSMUSG00000000204	0	0	0	0	0	0	0	0
ENSMUSG00000000214	0	0	0	0	0	0	0	0
ENSMUSG00000000215	0	0	0	0	0	0	0	0
ENSMUSG00000000216	0	0	0	0	0	0	0	0
ENSMUSG00000000223	0	0	0	0	0	0	0	0
ENSMUSG00000000244	308	305	315	286	246	255	484	484
ENSMUSG00000000247	0	0	0	0	0	0	0	0
ENSMUSG00000000248	0	0	0	0	0	0	0	0
ENSMUSG00000000253	0	0	0	0	0	0	0	0
ENSMUSG00000000263	0	0	0	0	0	0	0	0
ENSMUSG00000000266	0	0	0	0	0	0	0	0
ENSMUSG00000000275	16	17	30	39	48	41	20	17
ENSMUSG00000000276	27	24	19	11	17	15	5	5
ENSMUSG00000000278	48	46	72	61	98	80	40	37
ENSMUSG00000000282	0	0	0	0	3	1	0	1
ENSMUSG00000000290	189	193	311	250	235	236	52	41
ENSMUSG00000000295	125	122	130	115	104	111	181	194
ENSMUSG00000000296	0	0	0	0	0	0	0	0
ENSMUSG00000000301	4	4	9	8	2	0	7	3
ENSMUSG00000000303	0	0	0	0	0	0	0	0
ENSMUSG00000000305	0	0	0	0	0	0	0	0
ENSMUSG00000000308	3	0	0	0	2	1	0	0
ENSMUSG00000000317	1	0	0	0	0	0	0	0
ENSMUSG00000000318	0	0	0	0	0	0	0	0
ENSMUSG00000000320	0	0	0	0	0	0	0	0
ENSMUSG00000000325	0	0	0	1	1	0	0	0
ENSMUSG00000000326	41	46	63	46	54	57	148	124
ENSMUSG00000000339	101	88	70	79	96	73	86	72
ENSMUSG00000000340	14	19	26	34	30	16	6	3
ENSMUSG00000000346	971	992	982	989	927	913	1606	1593
ENSMUSG00000000355	32	27	35	28	37	42	68	75
ENSMUSG00000000359	0	0	0	0	0	0	0	0
ENSMUSG00000000365	0	0	0	0	0	0	0	0
ENSMUSG00000000374	16	10	12	10	16	10	1	5
ENSMUSG00000000378	84	79	100	84	73	86	186	187
ENSMUSG00000000381	0	0	0	0	0	0	0	0
ENSMUSG00000000384	104	107	93	93	127	102	139	110
ENSMUSG00000000385	0	0	0	0	0	0	0	0
ENSMUSG00000000386	0	0	0	0	2	5	0	0
ENSMUSG00000000392	0	0	0	0	0	0	0	0
ENSMUSG00000000394	0	0	0	0	0	0	0	0
ENSMUSG00000000399	291	304	315	279	347	295	487	492
ENSMUSG00000000402	0	0	0	0	0	0	0	0
ENSMUSG00000000409	579	534	519	484	572	570	658	678
ENSMUSG00000000411	0	0	0	0	0	0	0	0
ENSMUSG00000000416	0	0	0	0	0	0	0	0
ENSMUSG00000000420	47	46	15	9	43	37	21	13
ENSMUSG00000000435	0	0	0	0	0	0	0	0
ENSMUSG00000000439	97	96	121	105	93	109	49	53
ENSMUSG00000000440	0	0	0	0	0	0	0	0
ENSMUSG00000000441	131	134	168	146	164	138	31	28
ENSMUSG00000000486	46	64	56	41	55	61	36	33
ENSMUSG00000000489	0	0	0	0	0	0	0	0
ENSMUSG00000000530	0	0	0	0	5	5	0	0
ENSMUSG00000000531	0	0	2	1	1	0	1	1
ENSMUSG00000000532	1	3	6	3	1	0	3	7
ENSMUSG00000000538	7	8	11	10	11	6	5	2
