Lab,Compound,Exp,Conc.,Rep,Viability,IL-18,Fold,Dunnett,Reason for,,,,,,
(no.),(no.),,(µg/ml),,(rel %),(pg/µg),increase,(s/ns),repeating,,,,,,
,,,,,,,,,,,,,,,
1,1,1,125,1,99.132,21.910,0.969,ns,,,,,,,
1,1,1,125,2,90.077,20.480,0.906,,,,,,,,
1,1,1,125,3,98.960,21.073,0.932,,,,,,,,
1,1,1,125,4,94.648,23.280,1.029,,,,,,,,
1,1,1,250,1,77.314,19.609,0.867,ns,,,,,,,
1,1,1,250,2,76.451,22.096,0.977,,,,,,,,
1,1,1,250,3,89.215,22.762,1.007,,,,,,,,
1,1,1,250,4,91.457,23.811,1.053,,,,,,,,
1,1,1,500,1,68.474,19.972,0.883,ns,,,,,,,
1,1,1,500,2,68.000,21.411,0.947,,,,,,,,
1,1,1,500,3,69.250,20.694,0.915,,,,,,,,
1,1,1,500,4,82.747,18.751,0.829,,,,,,,,
1,1,1,1000,1,88.568,20.391,0.902,ns,,,,,,,
1,1,1,1000,2,79.858,19.769,0.874,,,,,,,,
1,1,1,1000,3,84.773,21.825,0.965,,,,,,,,
1,1,1,1000,4,91.716,21.886,0.968,,,,,,,,
1,1,2,125,1,98.644,18.808,0.972,ns,,,,,,,
1,1,2,125,2,109.947,19.952,1.032,,,,,,,,
1,1,2,125,3,97.099,17.038,0.881,,,,,,,,
1,1,2,125,4,115.335,18.926,0.978,,,,,,,,
1,1,2,250,1,95.893,18.429,0.953,ns,,,,,,,
1,1,2,250,2,91.183,18.328,0.948,,,,,,,,
1,1,2,250,3,94.725,21.664,1.120,,,,,,,,
1,1,2,250,4,98.945,17.319,0.895,,,,,,,,
1,1,2,500,1,93.029,20.032,1.036,ns,,,,,,,
1,1,2,500,2,89.261,18.546,0.959,,,,,,,,
1,1,2,500,3,92.427,18.461,0.954,,,,,,,,
1,1,2,500,4,91.409,19.425,1.004,,,,,,,,
1,1,2,1000,1,97.061,17.125,0.885,ns,,,,,,,
1,1,2,1000,2,97.702,17.863,0.923,,,,,,,,
1,1,2,1000,3,94.235,17.349,0.897,,,,,,,,
1,1,2,1000,4,93.670,17.477,0.904,,,,,,,,
1,1,3,125,1,99.841,19.775,0.974,ns,,,,,,,
1,1,3,125,2,96.325,18.520,0.912,,,,,,,,
1,1,3,125,3,93.445,23.457,1.155,,,,,,,,
1,1,3,125,4,97.384,22.957,1.130,,,,,,,,
1,1,3,250,1,88.192,17.937,0.883,ns,,,,,,,
1,1,3,250,2,91.327,21.179,1.043,,,,,,,,
1,1,3,250,3,91.369,20.101,0.990,,,,,,,,
1,1,3,250,4,96.579,23.417,1.153,,,,,,,,
1,1,3,500,1,96.114,19.934,0.981,ns,,,,,,,
