"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ontologyall","go","entrez","ensemblprot","symbol","path"
"ENSMUSG00000023132",478.00326632358,3.99075774148796,0.161247731370464,24.7492334159993,3.15976724738182e-135,3.38979830299122e-131,"BP","Gzma","14938","ENSMUSP00000023897","GO:0004252","04080"
"ENSMUSG00000028639",1149.30335124286,2.09427047495936,0.0871860506555072,24.0207058263749,1.68998454564069e-127,9.06507710281665e-124,"BP","Ybx1","22608",NA,"GO:0000122",NA
"ENSMUSG00000075602",394.00139458486,3.7682572017489,0.166495394987343,22.6328013578715,2.06087881913085e-113,7.36970265721192e-110,"CC","Ly6a","110454",NA,"GO:0005622",NA
"ENSMUSG00000026355",570.381248488949,-3.89176011162303,0.172658666211026,-22.5401956184838,1.67576694527599e-112,4.49440694723022e-109,"BP","Mcm6","17219",NA,"GO:0000166","03030"
"ENSMUSG00000021998",931.005066872922,-2.39849206521302,0.109204205693924,-21.963367161293,6.45352667011709e-107,1.38466868234032e-103,"BP","Lcp1","18826",NA,"GO:0001725",NA
"ENSMUSG00000021595",541.488359309852,-3.73382765966547,0.170569987080184,-21.890296901472,3.2141396393308e-106,5.74688167512346e-103,"BP","Nsun2","28114",NA,"GO:0000049",NA
"ENSMUSG00000027808",830.961042223467,-2.26545997129933,0.11011931410547,-20.5727758995077,4.8130727487458e-94,7.37637777836357e-91,"BP","Serp1","28146","ENSMUSP00000029385","GO:0001501",NA
"ENSMUSG00000001123",730.43468161581,2.07992757914843,0.105025139605216,19.8040924960136,2.74463934493155e-87,3.68056136155321e-84,"BP","Lgals9","16859",NA,"GO:0001819",NA
"ENSMUSG00000000751",443.036952561671,-3.29072201662795,0.172444157876237,-19.0828269113629,3.50763988027337e-81,4.18110673728585e-78,"BP","Rpa1","68275",NA,"GO:0000723","03030"
"ENSMUSG00000030978",410.927242601453,-4.00121135687347,0.211353669433062,-18.9313550486555,6.29228037874908e-80,6.75035839032201e-77,"BP","Rrm1","20133",NA,"GO:0000166","00230"
"ENSMUSG00000020719",616.583101168612,-2.64621912348708,0.141337774062241,-18.7226602445412,3.23579718882021e-78,3.15578474924211e-75,"BP","Ddx5","13207",NA,"GO:0000122","03040"
"ENSMUSG00000063524",3604.19464312828,0.967610146450434,0.0527027385150189,18.35976979023,2.757737074038e-75,2.46541694418997e-72,"BP","Eno1","13806","ENSMUSP00000075513","GO:0001701","00010"
"ENSMUSG00000029580",6518.19042951913,0.79730770496935,0.043556316038383,18.3052144324314,7.51953682100498e-75,6.20535315505704e-72,"BP","Actb","11461",NA,"GO:0000166","04145"
"ENSMUSG00000002870",482.22332036368,-2.76950588996899,0.154253722487202,-17.9542240233377,4.44754080091607e-72,3.40808697944483e-69,"BP","Mcm2","17216","ENSMUSP00000061923","GO:0000166","03030"
"ENSMUSG00000014956",358.118606339198,-3.48080666868242,0.199786491073244,-17.4226327815444,5.55606812301763e-68,3.97369992158221e-65,"BP","Ppp1cb","19046",NA,"GO:0000164","04114"
"ENSMUSG00000041859",408.096322764024,-2.99313977706638,0.171907770367039,-17.4113117206729,6.77144884887458e-68,4.54025645317041e-65,"BP","Mcm3","17215",NA,"GO:0000166","03030"
"ENSMUSG00000032939",420.474118426572,-2.98495110948707,0.172866105119494,-17.2674169260869,8.27648797985366e-67,5.22295076752177e-64,"BP","Nup93","71805",NA,"GO:0002230","03013"
"ENSMUSG00000022205",1633.24064749735,1.25560261061644,0.0737116344866569,17.0339813973835,4.59675720774546e-65,2.7396672958163e-62,"BP","Sub1","20024",NA,"GO:0001205",NA
"ENSMUSG00000060802",2687.19701749079,1.31653996510989,0.0775186174771329,16.9835325752327,1.08739361697586e-64,6.13976774890372e-62,"BP","B2m","12010","ENSMUSP00000099534","GO:0001916","04612"
"ENSMUSG00000017707",380.852226120906,-3.37543900779232,0.200148457360448,-16.8646766120884,8.1848846036488e-64,4.39037210139722e-61,"BP","Serinc3","26943","ENSMUSP00000017851","GO:0002376",NA
"ENSMUSG00000026356",456.494547371379,-2.52389100153973,0.149770591003885,-16.851712907204,1.0191942331021e-63,5.20662653939014e-61,"BP","Dars","226414",NA,"GO:0000166","00970"
"ENSMUSG00000002718",320.514465429796,-5.2008237693396,0.310067094447363,-16.773220578627,3.83166047185738e-63,1.86845697918573e-60,"BP","Cse1l","110750",NA,"GO:0005049",NA
"ENSMUSG00000064370",5334.75192142961,0.861221706049547,0.0514973467251824,16.7236131726454,8.82055625248397e-63,4.11421423811513e-60,"BP","CYTB","17711","ENSMUSP00000081003","GO:0005739","00190"
"ENSMUSG00000004880",359.109967778395,-3.29492249496924,0.1984365308189,-16.6044149299118,6.47483731226912e-62,2.89425227858429e-59,"BP","Lbr","98386",NA,"GO:0003677",NA
"ENSMUSG00000027763",386.110303236572,-2.72768530210928,0.164499904108815,-16.5816832349333,9.4543200950821e-62,4.05703783920163e-59,"BP","Mbnl1","56758",NA,"GO:0000380",NA
"ENSMUSG00000025240",238.966510465007,-4.88777650156992,0.295186008820458,-16.5582932643086,1.39495160378028e-61,5.75578492513647e-59,"BP","Sacm1l","83493","ENSMUSP00000026270","GO:0004438",NA
"ENSMUSG00000000001",350.598835586819,-3.07953803626897,0.188630426608892,-16.3257757066632,6.47129001337508e-60,2.57125923198103e-57,"BP","Gnai3","14679","ENSMUSP00000000001","GO:0000166","04062"
"ENSMUSG00000018654",467.23292112305,-2.44549455315562,0.151045452940758,-16.1904546316583,5.88918444371095e-59,2.25639895400468e-56,"BP","Ikzf1","22778",NA,"GO:0000122",NA
"ENSMUSG00000032116",330.229818028125,-3.49507664642201,0.217324826588803,-16.0822704947327,3.39697301851697e-58,1.25664574285e-55,"BP","Stt3a","16430",NA,"GO:0004576","00510"
"ENSMUSG00000023150",242.73816915366,-4.03031931982517,0.253593130837317,-15.8928568235181,7.10159591199429e-57,2.53953069812916e-54,"BP","Ivns1abp","117198",NA,"GO:0005515",NA
"ENSMUSG00000025968",277.429204244525,-3.46265503214208,0.219102559524449,-15.8038091369521,2.92872363988044e-56,1.01352732931088e-53,"BP","Ndufs1","227197",NA,"GO:0003954","00190"
"ENSMUSG00000044734",961.001768955719,1.39247089502086,0.0886317811299379,15.7107402928013,1.2767946244146e-55,4.28045397834995e-53,"BP","Serpinb1a","66222",NA,"GO:0004867","05146"
"ENSMUSG00000073411",2689.01403062234,0.894954047831061,0.0575179961573201,15.559548447815,1.37062453011103e-54,4.45577574516094e-52,"BP","H2-D1","14964",NA,"GO:0001916","04144"
"ENSMUSG00000022043",256.271266991818,-4.12051085617598,0.265585081903371,-15.5148430274979,2.75307184331332e-54,8.68675139266626e-52,"BP","Trim35","66854",NA,"GO:0005515",NA
"ENSMUSG00000021577",624.18190871827,-1.80645446558091,0.11885175189311,-15.1992245533373,3.57831757315621e-52,1.09680545499485e-49,"BP","Sdha","66945",NA,"GO:0000104","00020"
"ENSMUSG00000026553",279.60890415811,-3.63740000326697,0.242880008573476,-14.9761193794037,1.05181851155521e-50,3.13441916443452e-48,"BP","Copa","12847",NA,"GO:0005179",NA
"ENSMUSG00000032096",315.407608860157,-3.07551017293857,0.20545602016881,-14.969189855871,1.16734590725524e-50,3.38467213325249e-48,"BP","Arcn1","213827",NA,"GO:0005737",NA
"ENSMUSG00000006998",454.928662846273,-2.20379061758082,0.147942210282282,-14.8962937174987,3.48375500006659e-50,9.83519043176695e-48,"BP","Psmd2","21762",NA,"GO:0000502","03050"
"ENSMUSG00000031696",251.966280912242,-3.79718392690185,0.25724956703408,-14.7607009437602,2.62537964327959e-49,7.2218135418214e-47,"BP","Vps35","65114","ENSMUSP00000034131","GO:0005515",NA
"ENSMUSG00000026229",279.768556909152,-3.32442766829067,0.225273695471199,-14.7572829634505,2.76185060108532e-49,7.40728331211083e-47,"BP","Psmd1","70247",NA,"GO:0000502","03050"
"ENSMUSG00000040747",297.970355506708,2.4747012282633,0.168106250319533,14.7210542353983,4.72240479149161e-49,1.23565752690541e-46,"BP","Cd53","12508","ENSMUSP00000035781","GO:0001772",NA
"ENSMUSG00000032058",221.983841212244,-3.97029742206456,0.270511092887412,-14.6770225933656,9.04768928195698e-49,2.31103834801987e-46,"BP","Ppp2r1b","73699",NA,"GO:0005515","03015"
"ENSMUSG00000032902",261.534280448507,-3.32106613119467,0.229318157174726,-14.4823513851292,1.56645347432916e-47,3.90811927269842e-45,"BP","Slc16a1","20501","ENSMUSP00000045216","GO:0005739",NA
"ENSMUSG00000033732",279.810869375658,-2.91889749858822,0.201910433727441,-14.4563975456981,2.28445371526504e-47,5.56991351303713e-45,"BP","Sf3b3","101943","ENSMUSP00000045073","GO:0000398","03040"
"ENSMUSG00000024370",235.309952709914,-3.39929795484946,0.237059267416989,-14.3394434307015,1.2404625846079e-46,2.95726280170525e-44,"BP","Cdc23","52563",NA,"GO:0003674","04110"
