"x","swd1_del","msn2_del","hht1_del","mig3_del","mig2_del","rds1_del","asf1_del","swi5_del","dot1_del","sir2_del"
"Q0065","-0.20653","0.357766","0.403377","0.252198","0.327239","-0.307646","0.871307","0.241523","0.00354467","0.525478"
"Q0070","0.348572","0.462241","0.299456","0.11246","0.37569","-0.390894","0.769095","0.137425","-0.0834118","-0.0498228"
"Q0075","-0.921297","0.144033","0.130918","0.304534","0.118639","-0.137124","0.351764","0.370187","-0.156052","0.20122"
"Q0080","-0.775209","0.194793","-0.0630911","0.326192","0.379399","-0.175208","0.230928","-0.0293554","-0.0459928","0.0682856"
"Q0085","-0.124597","0.0205271","-0.0864997","0.194717","-0.208623","-0.0640138","0.0586213","0.0647173","-0.0718624","0.0396438"
"Q0092","0.0195169","0.00844386","-0.0315686","-0.0236833","-0.0393089","0.000908612","0.0318892","0.0013555","0.0162253","0.0163537"
"Q0105","-0.141486","-0.0127912","-0.0611677","0.101166","-0.0098511","-0.0381011","-0.0223186","0.0623566","-0.0344248","0.0361446"
"Q0110","-0.263951","0.169232","-0.0361427","0.24777","0.127924","-0.118277","-0.0206214","0.195965","-0.0412716","0.179358"
"Q0115","0.0312258","0.123534","-0.308675","0.117123","0.105262","-0.125456","0.11418","-0.109675","0.33057","0.00926117"
"Q0120","-0.27156","0.080221","-0.034809","0.148335","0.0748342","-0.072501","0.11334","0.162584","-0.103714","0.209004"
"Q0130","-1.24732","0.177982","0.1075","0.576454","0.562201","-0.0414914","0.73312","0.320288","-0.0659214","0.119848"
"Q0140","-0.76529","0.323889","-0.0255001","0.20568","0.0499653","-0.10288","0.0727369","0.478485","0.027791","0.0892134"
"Q0142","-0.0377782","0.0260635","-0.123475","-0.0897447","0.0591476","-0.0129615","-0.00434906","-0.0547249","0.130074","0.0461697"
"Q0143","-0.0741023","-0.0102201","-0.0450012","-0.0557802","-0.00510028","0.0224033","-0.036014","0.0381833","-0.0399999","0.0120251"
"Q0144","-0.0889972","0.0293186","-0.173869","0.0331164","0.00170138","-0.00764051","-0.0303673","-0.050229","0.173908","-0.115285"
"Q0160","-0.0878714","0.0882637","-0.17861","0.0939252","0.0399245","-0.0666026","0.0128261","0.074341","0.115193","-0.0533709"
"Q0182","-0.0968028","0.0487384","-0.19037","0.081994","0.02273","-0.0154194","0.0582056","-0.0811726","0.104618","-0.0568873"
"Q0250","-0.0756371","0.0821848","#VALUE!","0.0394753","0.0558898","-0.0767945","-0.106684","0.0581225","0.0334829","-0.00680825"
"Q0255","-0.0829074","-0.015889","-0.0258276","-0.067588","-0.0212684","-0.0346878","-0.0332565","-0.0015214","0.0159685","0.0196877"
"Q0275","-0.221418","-0.000243836","-0.112994","0.0281165","0.029785","-0.0055593","0.0298133","0.0964913","0.0668951","0.0273664"
"Q0297","-0.0685787","0.0299546","-0.182274","0.042168","0.0382676","-0.0552195","0.151846","-0.0843827","0.114207","0.00157168"
"YAL001C","-0.073498","0.0566251","-0.00277986","-0.0454925","-0.0897325","-0.04202","-0.0228065","-0.0561252","-0.0275882","-0.124069"
"YAL002W","0.23051","0.0639447","-0.10148","-0.00499025","-0.0216198","0.0276353","0.0429665","-0.0360983","0.00728163","0.0465609"
"YAL003W","0.138172","0.0327074","-0.0402328","-0.0709968","0.0541817","0.060255","-0.0201722","0.0966262","-0.0760126","0.144582"
"YAL004W","0.0245325","0.126325","-0.0932064","0.0354832","-0.010672","-0.00913951","-0.0336655","0.0403454","-0.013426","-0.121347"
"YAL005C","-0.266637","0.152196","-0.0114804","-0.231156","-0.225499","-0.0441382","0.344431","0.157277","0.164374","0.0792245"
