	swd1_del	msn2_del	hht1_del	mig3_del	mig2_del	rds1_del	asf1_del	swi5_del	dot1_del	sir2_del
Q0065	-0.206530228257179	0.357765942811966	0.403376817703247	0.252197653055191	0.327238976955414	-0.307646006345749	0.871307492256165	0.241522938013077	0.00354467169381678	0.525477588176727
Q0070	0.348572373390198	0.462240815162659	0.299455672502518	0.112459942698479	0.375690072774887	-0.39089372754097	0.76909464597702	0.137424826622009	-0.083411768078804	-0.0498227663338184
Q0075	-0.921297252178192	0.144033312797546	0.130917683243752	0.304534405469894	0.118638798594475	-0.137124136090279	0.351763993501663	0.370186597108841	-0.156051516532898	0.201219812035561
Q0080	-0.775208950042725	0.194793090224266	-0.0630911216139793	0.326192170381546	0.37939915060997	-0.175207704305649	0.230928480625153	-0.0293554048985243	-0.045992836356163	0.0682855844497681
Q0085	-0.124597370624542	0.0205270927399397	-0.0864997133612633	0.194717466831207	-0.208622664213181	-0.064013808965683	0.0586212836205959	0.0647173300385475	-0.0718624219298363	0.0396437756717205
Q0092	0.01951689645648	0.00844386126846075	-0.0315685719251633	-0.0236832946538925	-0.0393088907003403	0.000908611691556871	0.0318891853094101	0.00135549635160714	0.0162252988666296	0.0163536835461855
Q0105	-0.141485795378685	-0.0127912070602179	-0.0611677244305611	0.10116595774889	-0.00985109619796276	-0.0381011217832565	-0.0223185587674379	0.0623566135764122	-0.0344247706234455	0.0361445918679237
Q0110	-0.26395109295845	0.169232338666916	-0.0361426882445812	0.247769564390182	0.127923771739006	-0.118277437984943	-0.0206214059144258	0.195964857935905	-0.0412716306746006	0.179358169436455
Q0115	0.0312257893383503	0.123533770442009	-0.308674871921539	0.117123171687126	0.105262368917465	-0.125456392765045	0.11418043076992	-0.109674721956253	0.330569863319397	0.00926116667687893
Q0120	-0.271560490131378	0.0802210345864296	-0.0348089821636677	0.148335427045822	0.0748342201113701	-0.0725009590387344	0.113340452313423	0.162583872675896	-0.103714197874069	0.209004104137421
Q0130	-1.24732327461243	0.177981555461884	0.107500411570072	0.576454401016235	0.562200903892517	-0.0414913631975651	0.733120024204254	0.320288270711899	-0.0659213736653328	0.119847506284714
Q0140	-0.765290200710297	0.323888838291168	-0.0255000554025173	0.205680266022682	0.0499652661383152	-0.102880418300629	0.0727369487285614	0.478485226631165	0.0277910195291042	0.0892133787274361
Q0142	-0.0377782359719276	0.0260634776204824	-0.123474799096584	-0.0897447317838669	0.0591475814580917	-0.0129615152254701	-0.00434906082227826	-0.054724920541048	0.130074217915535	0.0461697280406952
Q0143	-0.0741023346781731	-0.0102200992405415	-0.0450012162327766	-0.0557802282273769	-0.00510027538985014	0.0224033258855343	-0.0360139943659306	0.0381833016872406	-0.0399999208748341	0.0120251020416617
Q0144	-0.0889972448348999	0.02931859344244	-0.17386931180954	0.0331163704395294	0.00170137651730329	-0.00764051172882318	-0.0303672645241022	-0.0502290241420269	0.17390775680542	-0.115284867584705
Q0160	-0.087871365249157	0.0882637426257133	-0.178609773516655	0.0939252004027367	0.0399244651198387	-0.0666026100516319	0.0128260832279921	0.0743410140275955	0.115193091332912	-0.05337093770504
Q0182	-0.0968028083443642	0.0487383902072906	-0.190369889140129	0.0819940119981766	0.0227299947291613	-0.0154193993657827	0.0582056492567062	-0.0811726301908493	0.104618459939957	-0.0568873323500156
Q0250	-0.0756370723247528	0.0821848139166832	0.00917515624314547	0.0394753329455853	0.0558897592127323	-0.0767945200204849	-0.106684386730194	0.0581225082278252	0.0334829092025757	-0.00680824741721153
Q0255	-0.0829074308276176	-0.0158890150487423	-0.0258275512605906	-0.0675880238413811	-0.0212684012949467	-0.0346877947449684	-0.0332565158605576	-0.00152140250429511	0.01596849411726	0.019687682390213
Q0275	-0.221417963504791	-0.000243836067966186	-0.112994186580181	0.0281164702028036	0.0297850295901299	-0.00555930240079761	0.0298132933676243	0.0964912623167038	0.0668951496481895	0.0273664053529501
Q0297	-0.0685786530375481	0.029954606667161	-0.182273611426353	0.042168028652668	0.0382676012814045	-0.0552194975316525	0.151845827698708	-0.0843827351927757	0.114207088947296	0.00157168123405427
YAL001C	-0.0734980031847954	0.0566251426935196	-0.00277986447326839	-0.0454924739897251	-0.0897324532270432	-0.0420200452208519	-0.0228065494447947	-0.056125171482563	-0.0275881923735142	-0.12406899034977
YAL002W	0.230510458350182	0.0639446601271629	-0.10148049890995	-0.00499024661257863	-0.0216198340058327	0.0276353415101767	0.0429664552211761	-0.0360983088612556	0.00728162983432412	0.0465609058737755
YAL003W	0.138172253966331	0.0327074229717255	-0.0402328111231327	-0.0709968283772469	0.0541816614568233	0.0602549500763416	-0.0201721917837858	0.0966261923313141	-0.0760126486420631	0.144581571221352
YAL004W	0.02453245036304	0.126325353980064	-0.0932063534855843	0.0354831516742706	-0.0106720365583897	-0.00913950800895691	-0.033665519207716	0.0403454005718231	-0.0134259629994631	-0.121346838772297
YAL005C	-0.266636967658997	0.152196407318115	-0.0114803584292531	-0.231155946850777	-0.225499242544174	-0.0441382005810738	0.344430863857269	0.157276585698128	0.164374396204948	0.0792244896292686
YAL007C	0.0326227992773056	0.0911514237523079	0.040654007345438	-0.0419324114918709	0.0856829881668091	-0.0652012154459953	0.107259348034859	0.0150407673791051	-0.0615425631403923	-0.0809803381562233
YAL008W	-0.314447313547134	-0.0750959292054176	0.122540198266506	-0.00879981182515621	-0.0706558898091316	-0.041068259626627	0.263791620731354	-0.010315996594727	0.0333983302116394	-0.100535087287426
YAL009W	0.105651259422302	-0.0264724791049957	0.109815202653408	-0.0181940980255604	0.00389002729207277	0.0298980828374624	0.00700887199491262	-0.0365406721830368	-0.0629886314272881	-0.0397581718862057
YAL010C	0.0394893735647202	0.0256808735430241	0.0397981628775597	0.0130119612440467	-0.0238094255328178	0.0430644787847996	0.0280881747603416	0.00690836925059557	0.0290499702095985	0.109708242118359
YAL011W	-0.0393489189445972	0.00371735985390842	-0.0178975444287062	0.0499373935163021	-0.022153003141284	-0.00953882560133934	-0.128996983170509	0.121055200695992	-0.0265283174812794	0.0121109429746866
YAL012W	0.104027956724167	0.154816493391991	0.0077408947981894	0.0465888418257236	0.134510114789009	-0.148845449090004	0.181738659739494	0.136506408452988	0.0877615362405777	-0.0498153008520603
YAL013W	0.0453590899705887	-0.00184638798236847	-0.071668341755867	0.0919502750039101	0.142348080873489	0.0363415591418743	-0.187623366713524	-0.137019440531731	0.0952088013291359	0.0184917487204075
YAL014C	-0.0324240997433662	0.137057527899742	-0.0302552916109562	0.0106223151087761	0.216063678264618	-0.0392999947071075	0.0740395337343216	-0.0489762648940086	0.0683406218886375	-0.0632704868912697
YAL015C	-0.391291052103043	-0.0954087749123573	0.140386030077934	0.067556120455265	-0.0400221720337868	0.105262368917465	0.279328644275665	0.0909753441810608	-0.0391117259860039	0.0360320284962654
YAL016W	0.0442682057619095	-0.029829578474164	0.044799767434597	-0.0717744752764702	-0.0282265525311232	-0.026222700253129	0.121784627437592	-0.00888835731893778	0.00561556732282043	0.0982443615794182
YAL017W	0.0877751111984253	-0.053540114313364	0.0730387046933174	-0.129251003265381	-0.067693866789341	-0.0807545110583305	0.249117627739906	0.0430504754185677	0.0126830833032727	-0.203015252947807
YAL018C	0.373096913099289	0.0258509311825037	0.0906231254339218	-0.0256997756659985	0.00482495129108429	-0.0127431740984321	0.342691272497177	-0.057516273111105	0.0989315360784531	-0.0175397172570229
YAL019W	0.175467118620872	-0.0319608710706234	0.0276494957506657	0.0169526617974043	-0.0308122951537371	0.286597311496735	-0.0653627291321754	0.0658893510699272	-0.0204311683773994	0.103853441774845
YAL020C	-0.17438530921936	-0.00783632323145866	-0.0421596728265285	0.0366650894284248	0.0278193224221468	-0.0312736816704273	-0.163133829832077	-0.0585646107792854	0.0337929874658585	0.0725037306547165
YAL021C	-0.0277514345943928	0.118745103478432	-0.0815725475549698	0.156655490398407	0.118585653603077	0.0485849566757679	-0.21942113339901	-0.104215011000633	0.0404155440628529	0.324706941843033
YAL022C	-0.226763188838959	-0.0626827254891396	0.0120107950642705	-0.0900641083717346	-0.0366575755178928	-0.0111822728067636	-0.0829807743430138	0.0811077952384949	-0.00550282141193748	0.0318045131862164
YAL023C	0.0227867998182774	0.0592029690742493	0.0387171097099781	-0.0611451491713524	-0.00413057254627347	0.0207973066717386	-0.160311251878738	0.00466677593067288	-0.0615756846964359	0.00394757883623242
YAL024C	0.260013610124588	0.171975374221802	-0.0404271632432938	0.111512131989002	-0.0234310645610094	-0.0200580824166536	0.0295306276530027	0.0704717636108398	0.0491288714110851	0.131154835224152
YAL025C	0.111271739006042	0.00627647759392858	0.0364259667694569	0.100506760179996	0.0944117531180382	0.173511251807213	-0.360473304986954	-0.0264563150703907	-0.160791784524918	0.238725736737251
YAL026C	-0.000825457682367414	0.0634062960743904	-0.0255147404968739	-0.0406156033277512	-0.0150242811068892	-0.0275367256253958	-0.0156148103997111	0.03606016933918	0.0788147449493408	0.140935674309731
YAL027W	-0.19736835360527	0.00518437568098307	-0.0774504691362381	-0.0584789738059044	0.0145266922190785	0.0464770905673504	-0.286473095417023	0.0268000587821007	-0.10594204813242	-0.141707018017769
YAL028W	-0.0318015813827515	-0.0129120219498873	-0.0401067212224007	-0.161977663636208	-0.0301845762878656	-0.107001319527626	0.272202402353287	-0.0663850605487823	0.0343425087630749	-0.302124798297882
YAL029C	0.221963673830032	0.233127266168594	-0.04809595271945	0.0205555371940136	0.20138293504715	-0.0146627929061651	0.425942629575729	0.0394051447510719	0.0941549763083458	-0.0283310115337372
YAL030W	0.284845739603043	-0.00600688578560948	0.00865898653864861	0.0244757141917944	0.1132737621665	-0.00436353124678135	0.295440912246704	-0.0280426647514105	0.0146837895736098	-0.0247440170496702
YAL031C	-0.0379885472357273	-0.0151890218257904	-0.0421908684074879	-0.0960424020886421	-0.0112680569291115	-0.0423423983156681	-0.00690246932208538	0.000721167249139398	0.0584134794771671	-0.170783653855324
YAL032C	-0.0351105108857155	-0.0192230120301247	-0.0295424051582813	-0.0875969305634499	0.0101066632196307	0.0566667579114437	-0.0581529960036278	0.130456477403641	-0.0231480933725834	-0.0187245402485132
YAL033W	-0.0674504488706589	-0.0276381932199001	0.0676249489188194	0.0506479628384113	0.0862674564123154	-0.0919280350208282	-0.126999512314796	0.00173019606154412	-0.121984116733074	-0.052305418998003
YAL034C	-0.128925994038582	0.0136266192421317	0.0100923357531428	0.130851820111275	0.0441702641546726	-0.00927163287997246	0.142335012555122	0.0169241447001696	0.0140410084277391	-0.0704240947961807
YAL034W-A	-0.108330398797989	-0.0368810445070267	0.0187053810805082	-0.0557112507522106	-0.0268295891582966	-0.0333362407982349	-0.212520733475685	-0.0283619090914726	-0.0730517506599426	-0.086936354637146
YAL034C-B	-0.0732870027422905	0.0231701713055372	-0.0376493968069553	0.00377491791732609	-0.00357220368459821	-0.0242964513599873	0.0557648427784443	0.036299355328083	0.0293327309191227	-0.0170038715004921
YAL035W	0.185422569513321	0.0383518934249878	-0.0218131579458714	0.0222044456750154	0.0374806225299835	0.0411027707159519	-0.0459853895008564	0.0154262036085129	-0.0405310243368149	0.237441346049309
YAL036C	0.118758387863636	0.0373541042208672	0.0125543717294931	-0.0275999587029219	0.0323688983917236	0.106267906725407	-0.234495803713799	0.119276486337185	-0.131251603364944	0.120418302714825
YAL037W	0.285212814807892	-0.0995547398924828	0.0174516197293997	0.190627500414848	-0.0962382480502129	0.0936683416366577	-0.178467735648155	0.00716679077595472	-0.0561026707291603	0.0268283821642399
YAL038W	0.0201856978237629	0.132234632968903	-0.000481940631289035	0.0698946043848991	-0.0376005284488201	0.00180224259383976	0.20791782438755	-0.163558751344681	0.139089614152908	-0.0480884946882725
YAL039C	0.209316104650497	0.10121975839138	-0.039592083543539	0.0751081481575966	0.12214258313179	-0.00332346628420055	0.0458622984588146	0.128808096051216	-0.00546661671251059	0.255404055118561
YAL040C	-0.0361767113208771	-0.0674459189176559	-0.0324698425829411	0.0161967668682337	0.131866008043289	-0.00816708710044622	0.400373965501785	-0.0317071937024593	-0.000305883761029691	0.27189177274704
YAL041W	-0.00739977275952697	0.0168100707232952	-0.0527198612689972	-0.0227171443402767	-0.0474800504744053	-0.000699876807630062	-0.0763502866029739	0.0250004362314939	-0.0420705452561378	0.0494774281978607
YAL042W	0.0172805674374104	-0.129590302705765	-0.0205423813313246	0.0280032772570848	0.127897366881371	-0.0761784166097641	-0.0361205004155636	0.0701832175254822	0.0125686740502715	-0.0216227620840073
YAL043C	0.122487187385559	0.0327074229717255	0.0152977360412478	-0.0177514813840389	0.0335674844682217	0.0163108892738819	-0.0570088997483253	0.0638204365968704	0.0416074655950069	0.0657377317547798
YAL042C-A	-0.017113359645009	0.0228152014315128	-0.068801075220108	0.012039409019053	0.0195026621222496	-0.0363394469022751	0.0833427384495735	-0.0372673906385899	0.106830701231956	0.00397635344415903
YAL044C	-0.32867220044136	0.0778855755925179	0.0516366027295589	0.0950467213988304	-0.0386270806193352	0.0524715408682823	-0.389386862516403	-0.0837404429912567	0.0228720027953386	-0.0448940545320511
YAL044W-A	-0.0935957729816437	-0.0464948602020741	-0.119364619255066	0.0738065242767334	0.049212533980608	-0.0389575697481632	0.0462535582482815	0.0076547940261662	-0.0245943237096071	-0.0453674085438251
YAL045C	0.0202568266540766	0.00427845399826765	0.0568054653704166	-0.0629268437623978	-0.0142955668270588	-0.0301683712750673	-0.00563461426645517	-0.0300623066723347	-0.011976333335042	-0.0498302355408669
YAL046C	-0.114128932356834	-0.00628216797485948	0.00282491487450898	0.11259339004755	0.0119535652920604	-0.00869966018944979	0.0414953269064426	-0.0588606297969818	-0.0781965702772141	0.0224885493516922
YAL047C	-0.0485673733055592	0.0135265765711665	0.00124018453061581	0.0381411500275135	-0.0180626139044762	0.0384221337735653	-0.163873881101608	-0.0375042818486691	-0.0552809573709965	-0.0445041730999947
YAL048C	-0.176188692450523	0.0314375460147858	-0.00571572361513972	0.0685194805264473	0.058787502348423	0.0952628254890442	-0.19695320725441	0.0249011795967817	-0.0238504931330681	0.0876800790429115
YAL049C	0.0867294296622276	-0.076228603720665	0.0117389298975468	-0.0663865730166435	-0.0708255916833878	-0.0182642284780741	0.195133373141289	-0.0121931023895741	-0.0350203402340412	0.0429244451224804
YAL051W	-0.0196192804723978	0.00245049921795726	-0.0326513424515724	0.0677763745188713	-0.13639609515667	0.0346383191645145	-0.175421118736267	-0.022441640496254	-0.0558237172663212	0.0495053119957447
YAL053W	0.268913418054581	0.0548206977546215	0.0481385141611099	0.0930868610739708	-0.0767047479748726	0.0869060233235359	0.158530920743942	0.314487725496292	-0.0220021139830351	0.221171796321869
YAL054C	-0.0203082598745823	0.0293751396238804	0.0180786363780499	0.0607114918529987	-0.0886351466178894	0.00436475686728954	0.10748702287674	-0.0588455982506275	0.0207404233515263	-0.0682337507605553
YAL055W	-0.0163704566657543	-0.0567837879061699	-0.0231099762022495	0.0602411143481731	-0.0565677173435688	0.0160398334264755	0.0160826351493597	-0.0921140983700752	0.0256383549422026	-0.178376317024231
YAL056W	-0.00895222928375006	0.0516226813197136	0.0806303769350052	0.0174801256507635	0.0740395337343216	-0.0191703792661428	-0.23269097507	0.0372838117182255	0.00129784154705703	-0.0290462449193001
YAL056C-A	0.00155726994853467	-0.0153056643903255	-0.02223065122962	-0.043092854321003	0.0100780101493001	0.00797047279775143	-0.0221046581864357	0.0485152117908001	0.0149836568161845	-0.0283589661121368
YAL058W	-0.161351516842842	0.0317762866616249	0.0485291592776775	-0.0160275958478451	-0.0141819203272462	-0.00659953197464347	-0.129225760698318	0.0298132933676243	-0.0796655341982841	-0.0356013663113117
YAL059W	0.171744853258133	0.0100923357531428	0.00532812066376209	0.0829205438494682	0.098540835082531	0.119502268731594	-0.360056608915329	0.0629644170403481	-0.131445974111557	0.212581783533096
YAL060W	-0.53827029466629	-0.560898184776306	-0.0674005672335625	-0.0901316776871681	-0.216700926423073	-0.149123772978783	0.0750807523727417	-0.0985518842935562	-0.053817130625248	-0.402090340852737
YAL061W	-0.940869033336639	-0.591329455375671	-0.490093410015106	-0.248896256089211	-0.365222752094269	-0.316725760698318	-0.0124375531449914	-0.319018602371216	0.0152834607288241	0.12883448600769
YAL062W	0.310689121484756	0.0775985047221184	-0.0856895968317986	0.110590420663357	-0.178761646151543	0.0670328810811043	0.347563624382019	-0.0219596326351166	0.0296861007809639	-0.120240919291973
YAL063C	-0.0132308481261134	0.0745876356959343	0.0239791795611382	0.0193460881710052	-0.00134955090470612	-0.0420764908194542	0.261891812086105	0.00383247388526797	0.0458622984588146	-0.134401023387909
YAL064C-A	-0.0732308402657509	-0.00668359408155084	-0.021111749112606	-0.0259685572236776	-0.00635896623134613	0.0201572421938181	-0.0414883941411972	-0.015776701271534	0.0764633193612099	0.0268567036837339
YAL064W	0.0911920517683029	0.0257517322897911	0.0844725146889687	-0.0107127325609326	0.000750006467569619	0.0171237513422966	0.158039674162865	-0.0287459790706635	0.0661374256014824	0.13068051636219
YAL064W-B	-0.163993492722511	-0.00878239329904318	0.0497980266809464	-0.0218102298676968	0.0363837629556656	0.0241778139024973	-0.140970304608345	0.0519149675965309	-0.0492718107998371	-0.0310805588960648
YAL065C	0.131958186626434	0.000115410992293619	-0.0301639512181282	-0.0277587864547968	0.0240501239895821	0.00699451519176364	-0.0245576370507479	0.0207688640803099	-0.0484002716839314	-0.0137594677507877
YAL066W	0.0790196359157562	0.00801351480185986	0.0287812985479832	0.0286257266998291	-0.0120810763910413	-0.0231363661587238	0.00095186464022845	-0.00895368121564388	0.0829886496067047	0.0100780101493001
YAL067C	0.58287388086319	-0.00286659575067461	0.170707046985626	0.14802297949791	-0.0167717803269625	0.0965047553181648	0.287389546632767	0.0841187015175819	0.00542873376980424	0.184775397181511
YAL068C	0.245714694261551	0.0751081481575966	0.0726272016763687	-0.040786262601614	0.0472172908484936	-0.108056716620922	0.338156253099442	0.0530974306166172	-0.0993306189775467	0.118253402411938
YAL069W	0.00659245811402798	0.0746561363339424	-0.031233873218298	0.113633826375008	-0.00371394539251924	-0.0622503533959389	0.0781999230384827	0.0414672903716564	-0.0680265426635742	0.932945549488068
YAR002C-A	0.101636633276939	-0.0785255804657936	0.0575819723308086	-0.0717820525169373	0.0127545846626163	0.0431904979050159	0.0292337704449892	0.0159827638417482	-0.120236210525036	-0.0950743481516838
YAR002W	-0.0382225960493088	-0.0259068664163351	-0.0637167394161224	-0.0130401263013482	0.0621631667017937	-0.0376790128648281	0.0687671005725861	-0.0799872651696205	0.0807531550526619	0.00399074051529169
YAR003W	-3.42558789253235	-0.0503799095749855	0.050564382225275	-0.127380818128586	0.0673771351575851	0.0530696175992489	0.0367354117333889	-0.0300092753022909	-0.0362388454377651	-0.0152983739972115
YAR007C	0.284099519252777	0.0314657762646675	-0.0874421000480652	-0.0922401994466782	-0.00685028405860066	0.0515809208154678	0.196015238761902	-0.092035673558712	0.0987159907817841	-0.0866191983222961
YAR008W	0.151352286338806	-0.0722461193799973	0.00629084184765816	-0.0892980322241783	-0.0160042531788349	0.0201145615428686	-0.218658745288849	-0.0907522365450859	-0.018879471346736	0.00348710431717336
YAR009C	0.532696008682251	0.306308895349503	0.648216903209686	-0.0915375277400017	0.323992550373077	-0.0435507483780384	1.37679600715637	0.203977897763252	0.085941269993782	-1.9738883972168
YPR158W-A	0.612805426120758	0.399860143661499	0.701655507087708	0.0921262353658676	0.783540487289429	0.0864169299602509	1.33114910125732	0.160223186016083	-0.0760704353451729	-1.80998945236206
