geneSymbol	description
OAF1	Oleate-activated transcription factor; acts alone and as a heterodimer with Pip2p; activates genes involved in beta-oxidation of fatty acids and peroxisome organization and biogenesis; OAF1 has a paralog, PIP2, that arose from the whole genome duplication
FUN12	GTPase required for general translation initiation; promotes Met-tRNAiMet binding to ribosomes and ribosomal subunit joining; promotes GTP-dependent maturation of 18S rRNA by Nob1p; protein abundance increases in response to DNA replication stress; homolog of bacterial IF2
FUN30	Snf2p family member with ATP-dependent chromatin remodeling activity; has a role in silencing at the mating type locus, telomeres and centromeres; enriched at centromeres and is required for correct chromatin structure around centromeres, as well as at the boundary element of the silent HMR; recruited to DNA double-strand breaks (DSBs) where it promotes 5' strand resection of DSBs; potential Cdc28p substrate
PSK1	PAS domain-containing serine/threonine protein kinase; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status; PSK1 has a paralog, PSK2, that arose from the whole genome duplication
VPS8	Membrane-binding component of the CORVET complex; involved in endosomal vesicle tethering and fusion in the endosome to vacuole protein targeting pathway; interacts with Vps21p; contains RING finger motif
SWH1	Protein similar to mammalian oxysterol-binding protein; contains ankyrin repeats; localizes to the Golgi and the nucleus-vacuole junction; SWH1 has a paralog, OSH2, that arose from the whole genome duplication
FLO1	Lectin-like protein involved in flocculation; cell wall protein that binds mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; FLO1 has a paralog, FLO5, that arose from a segmental duplication
VTH2	Putative membrane glycoprotein with strong similarity to Vth1p and Pep1p/Vps10p, may be involved in vacuolar protein sorting
UBP12	Ubiquitin-specific protease; cleaves ubiquitin from ubiquitinated proteins; present in the nucleus and cytoplasm
SAP185	Protein that forms a complex with the Sit4p protein phosphatase; required for Sit4p function; member of a family of similar proteins including Sap4p, Sap155p, and Sap190p; SAP185 has a paralog, SAP190, that arose from the whole genome duplication
BCK1	Mitogen-activated protein (MAP) kinase kinase kinase acting in the protein kinase C signaling pathway, which controls cell integrity; upon activation by Pkc1p phosphorylates downstream kinases Mkk1p and Mkk2p
SRS2	DNA helicase and DNA-dependent ATPase involved in DNA repair and checkpoint recovery, needed for proper timing of commitment to meiotic recombination and transition from Meiosis I to II; blocks trinucleotide repeat expansion; affects genome stability
NET1	Core subunit of the RENT complex; involved in nucleolar silencing and telophase exit; stimulates transcription by RNA polymerase I and regulates nucleolar structure; NET1 has a paralog, TOF2, that arose from the whole genome duplication
MTR4	ATP-dependent 3'-5' RNA helicase of the DExD/H family; involved in nuclear RNA processing and degradation both as a component of TRAMP complex and in TRAMP-independent processes; TRAMP unwinds RNA duplexes, with Mtr4p unwinding activity stimulated by Pap2p/Air2p but not dependent on ongoing polyadenylation; contains an arch domain, with two coiled-coil arms/stalks and a globular fist/KOW domain, which has RNA binding activity and is required for 5.8S rRNA processing
MHP1	Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins
CYR1	Adenylate cyclase, required for cAMP production and cAMP-dependent protein kinase signaling; the cAMP pathway controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation
RAD26	Protein involved in transcription-coupled nucleotide excision repair of UV-induced DNA lesions; recruitment to DNA lesions is dependent on an elongating RNA polymerase II; homolog of human CSB protein
	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
TOR1	PIK-related protein kinase and rapamycin target; subunit of TORC1, a complex that controls growth in response to nutrients by regulating translation, transcription, ribosome biogenesis, nutrient transport and autophagy; involved in meiosis; TOR1 has a paralog, TOR2, that arose from the whole genome duplication
BUD4	Anillin-like protein involved in bud-site selection; required for the axial budding pattern; localizes with septins to the bud neck in mitosis and may constitute an axial landmark for the next round of budding; required for the formation and disassembly of the double septin ring structure, and generally for septin organization; in vivo substrate of Cdc28p/Clb2p
NMD5	Karyopherin, a carrier protein involved in nuclear import of proteins; importin beta homolog
IML1	Subunit of both the SEA (Seh1-associated) and Iml1p complexes; SEA complex is a coatomer-related complex that associates dynamically with the vacuole; Iml1p complex (Iml1p-Npr2p-Npr3p) is required for non-nitrogen-starvation (NNS)-induced autophagy; localized to either pre-autophagosomal structures (PAS) or non-PAS structures during NNS-induced autophagy; has an N-terminal CDC48-like domain (RANS) required for NNS-induced autophagy and a C-terminal DEP domain
UBA1	Ubiquitin activating enzyme (E1); involved in ubiquitin-mediated protein degradation and essential for viability; protein abundance increases in response to DNA replication stress
LOS1	Nuclear pore protein involved in nuclear export of pre-tRNA and in re-export of mature tRNAs after their retrograde import from the cytoplasm
FAS1	Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities
SNU114	GTPase component of U5 snRNP involved in mRNA splicing via spliceosome; binds directly to U5 snRNA; proposed to be involved in conformational changes of the spliceosome; similarity to ribosomal translocation factor EF-2
APE2	Aminopeptidase yscII; may have a role in obtaining leucine from dipeptide substrates; APE2 has a paralog, AAP1, that arose from the whole genome duplication
HSL1	Nim1p-related protein kinase that regulates the morphogenesis and septin checkpoints; associates with the assembled septin filament; required along with Hsl7p for bud neck recruitment, phosphorylation, and degradation of Swe1p
RGT1	Glucose-responsive transcription factor; regulates expression of several glucose transporter (HXT) genes in response to glucose; binds to promoters and acts both as a transcriptional activator and repressor; RGT1 has a paralog, EDS1, that arose from the whole genome duplication
TTI1	Subunit of the ASTRA complex, involved in chromatin remodeling; telomere length regulator involved in the stability or biogenesis of PIKKs such as TORC1; similar to S. pombe Tti1p; detected in highly purified mitochondria in high-throughput studies
SAP190	Protein that forms a complex with the Sit4p protein phosphatase; required for Sit4p function; member of a family of similar proteins including Sap4p, Sap155p, and Sap185p; SAP190 has a paralog, SAP185, that arose from the whole genome duplication
NUP133	Subunit of Nup84p subcomplex of nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis; is involved in establishment of a normal nucleocytoplasmic concentration gradient of GTPase Gsp1p; also plays roles in several processes that may require localization of genes or chromosomes at nuclear periphery, including double-strand break repair, transcription and chromatin silencing; relocalizes to cytosol in response to hypoxia; homolog of human NUP133
PRP16	DEAH-box RNA helicase involved in second catalytic step of splicing; exhibits ATP-dependent RNA unwinding activity; mediates the release of Yju2p and Cwc25p in the second step; in the absence of ATP, stabilizes the binding of Cwc25p to the spliceosome in the first catalytic step
MLP1	Myosin-like protein associated with the nuclear envelope; connects the nuclear pore complex with the nuclear interior; involved with Tel1p in telomere length control; involved with Pml1p and Pml39p in nuclear retention of unspliced mRNAs; MLP1 has a paralog, MLP2, that arose from the whole genome duplication
ESL2	Protein of unknown function; interacts with Pex14p; may interact with ribosomes, based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the nucleus and cytoplasm; predicted to contain a PINc domain; ESL2 has a paralog, YIL151C, that arose from the whole genome duplication
FLO10	Member of the FLO family of cell wall flocculation proteins; not expressed in most lab strains; overproduction induces flocculation that can be inhibited by mannose, sucrose, or glucose; overproduction also promotes haploid invasive growth and diploid filamentous growth
NFT1	Putative transporter of the multidrug resistance-associated protein (MRP) subfamily; adjacent ORFs YKR103W and YKR104W are merged in different strain backgrounds.
SPA2	Component of the polarisome; functions in actin cytoskeletal organization during polarized growth; acts as a scaffold for Mkk1p and Mpk1p cell wall integrity signaling components; potential Cdc28p substrate; SPA2 has a paralog, SPH1, that arose from the whole genome duplication
BPT1	ABC type transmembrane transporter of MRP/CFTR family, found in vacuolar membrane, involved in the transport of unconjugated bilirubin and in heavy metal detoxification via glutathione conjugates, along with Ycf1p
RAD5	DNA helicase; proposed to promote replication fork regression during postreplication repair by template switching; RING finger containing ubiquitin ligase; stimulates the synthesis of free and PCNA-bound polyubiquitin chains by Ubc13p-Mms2p; required for error-prone translesion synthesis; forms nuclear foci upon DNA replication stress
SMC4	Subunit of the condensin complex; reorganizes chromosomes during cell division; forms a complex with Smc2p that has ATP-hydrolyzing and DNA-binding activity; required for tRNA gene clustering at the nucleolus; potential Cdc28p substrate
KIN2	Serine/threonine protein kinase involved in regulation of exocytosis; localizes to the cytoplasmic face of the plasma membrane; KIN2 has a paralog, KIN1, that arose from the whole genome duplication
SKG3	Protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cell periphery, cytoplasm, bud, and bud neck; potential Cdc28p substrate; similar to Skg4p; relocalizes from bud neck to cytoplasm upon DNA replication stress; SKG3 has a paralog, CAF120, that arose from the whole genome duplication
YEF3	Gamma subunit of translational elongation factor eEF1B; stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex; contains two ABC cassettes; binds and hydrolyzes ATP; YEF3 has a paralog, HEF3, that arose from the whole genome duplication
HAP1	Zinc finger transcription factor involved in the complex regulation of gene expression in response to levels of heme and oxygen; the S288C sequence differs from other strain backgrounds due to a Ty1 insertion in the carboxy terminus
MMS22	Subunit of an E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork, such as the fork-pausing complex and leading strand polymerase, preventing fork collapse and promoting efficient recovery during replication stress; required for accurate meiotic chromosome segregation
FKS1	Catalytic subunit of 1,3-beta-D-glucan synthase; functionally redundant with alternate catalytic subunit Gsc2p; binds to regulatory subunit Rho1p; involved in cell wall synthesis and maintenance; localizes to sites of cell wall remodeling; FKS1 has a paralog, GSC2, that arose from the whole genome duplication
ROM2	GDP/GTP exchange factor (GEF) for Rho1p and Rho2p; mutations are synthetically lethal with mutations in rom1, which also encodes a GEF; Rom2p localization to the bud surface is dependent on Ack1p; ROM2 has a paralog, ROM1, that arose from the whole genome duplication
SMC6	Component of the SMC5-SMC6 complex; this complex plays a key role in the removal of X-shaped DNA structures that arise between sister chromatids during DNA replication and repair; homologous to S. pombe rad18
VIP1	Inositol hexakisphosphate (IP6) and inositol heptakisphosphate (IP7) kinase; IP7 production is important for phosphate signaling; involved in cortical actin cytoskeleton function, and invasive pseudohyphal growth analogous to S. pombe asp1
	Putative helicase with limited sequence similarity to human Rb protein; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies; YLR419W is not an essential gene
	Protein of unknown function with similarity to human DOCK proteins (guanine nucleotide exchange factors); interacts with Ino4p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm, YLR422W is not an essential protein
TUS1	Guanine nucleotide exchange factor (GEF) that modulate Rho1p activity; involved in the cell integrity signaling pathway; interacts with Rgl1p; localization of Tus1p to the bed neck is regulated by Rgl1p; multicopy suppressor of tor2 mutation and ypk1 ypk2 double mutation; potential Cdc28p substrate
SEN1	Presumed helicase and subunit of the Nrd1 complex (Nrd1p-Nab3p-Sen1p); complex interacts with the exosome to mediate 3' end formation of some mRNAs, snRNAs, snoRNAs, and CUTs; has a separate role in coordinating DNA replication with transcription, by associating with moving replication forks and preventing errors that occur when forks encounter transcribed regions; homolog of Senataxin, which is implicated in Ataxia-Oculomotor Apraxia 2 and a dominant form of ALS
HMG2	HMG-CoA reductase; converts HMG-CoA to mevalonate, a rate-limiting step in sterol biosynthesis; one of two isozymes; overproduction induces assembly of peripheral ER membrane arrays and short nuclear-associated membrane stacks; forms foci at the nuclear periphery upon DNA replication stress; HMG2 has a paralog, HMG1, that arose from the whole genome duplication
FMP27	Putative protein of unknown function; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
YRF1-4	Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
YRF1-5	Helicase encoded by the Y' element of subtelomeric regions, highly expressed in the mutants lacking the telomerase component TLC1; potentially phosphorylated by Cdc28p
NAB6	Putative RNA-binding protein that associates with mRNAs encoding cell wall proteins in high-throughput studies; deletion mutants display increased sensitivity to some cell wall disrupting agents; expression negatively regulated by cAMP
TSL1	Large subunit of trehalose 6-phosphate synthase/phosphatase complex; Tps1p-Tps2p complex converts uridine-5'-diphosphoglucose and glucose 6-phosphate to trehalose; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress; TSL1 has a paralog, TPS3, that arose from the whole genome duplication
TDA9	DNA-binding protein, putative transcription factor; green fluorescent protein (GFP)-fusion protein localizes to the nucleus; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene; TDA9 has a paralog, RSF2, that arose from the whole genome duplication
SPT5	Component of the universally conserved Spt4/5 complex (DSIF complex); the complex has multiple roles in concert with RNA polymerases I and II, including regulation of transcription elongation, RNA processing, quality control, and transcription-coupled DNA repair
CLU1	eIF3 component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation, can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant
MYO5	One of two type I myosins; contains proline-rich tail homology 2 (TH2) and SH3 domains; MYO5 deletion has little effect on growth, but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO5 has a paralog, MYO3, that arose from the whole genome duplication
ECM16	Essential DEAH-box ATP-dependent RNA helicase specific to the U3 snoRNP, predominantly nucleolar in distribution, required for 18S rRNA synthesis
POM152	Glycoprotein subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication; homologous to human NUP210
ECM5	Non-essential protein of unknown function; contains ATP/GTP-binding site motif A; null mutant exhibits cellular volume up to four times greater than wild-type, also large drooping buds with elongated necks; relative distribution to the nucleus increases upon DNA replication stress
GCV2	P subunit of the mitochondrial glycine decarboxylase complex, required for the catabolism of glycine to 5,10-methylene-THF; expression is regulated by levels of 5,10-methylene-THF in the cytoplasm
	Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YMR196W is not an essential gene
ESC1	Protein localized to the nuclear periphery, involved in telomeric silencing; interacts with PAD4-domain of Sir4p
PEP5	Histone E3 ligase, component of CORVET tethering complex; peripheral vacuolar membrane protein required for protein trafficking and vacuole biogenesis; interacts with Pep7p; involved in ubiquitylation and degradation of excess histones
UBP15	Ubiquitin-specific protease involved in protein deubiquitination; catalytic activity regulated by an N-terminal TRAF-like domain and and C-terminal sequences; physically interacts with anaphase-promoting complex/cyclosome (APC/C) activator, Cdh1p; forms a complex with AAA peroxins Pex1p and Pex6p
FKS3	Protein involved in spore wall assembly, has similarity to 1,3-beta-D-glucan synthase catalytic subunits Fks1p and Gsc2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies
	Putative protein of unknown function with some similarity to sialidase from Trypanosoma; YMR317W is not an essential gene
EGT2	Glycosylphosphatidylinositol (GPI)-anchored cell wall endoglucanase required for proper cell separation after cytokinesis, expression is activated by Swi5p and tightly regulated in a cell cycle-dependent manner
CAF120	Part of the CCR4-NOT transcriptional regulatory complex; involved in controlling mRNA initiation, elongation, and degradation; CAF120 has a paralog, SKG3, that arose from the whole genome duplication
TOF1	Subunit of a replication-pausing checkpoint complex; Tof1p-Mrc1p-Csm3p acts at the stalled replication fork to promote sister chromatid cohesion after DNA damage, facilitating gap repair of damaged DNA; interacts with the MCM helicase; relocalizes to the cytosol in response to hypoxia
PIK1	Phosphatidylinositol 4-kinase; catalyzes first step in the biosynthesis of phosphatidylinositol-4,5-biphosphate; may control cytokinesis through the actin cytoskeleton
POL2	Catalytic subunit of DNA polymerase (II) epsilon, a chromosomal DNA replication polymerase that exhibits processivity and proofreading exonuclease activity; also involved in DNA synthesis during DNA repair; interacts extensively with Mrc1p
RAD50	Subunit of MRX complex with Mre11p and Xrs2p; complex is involved in processing double-strand DNA breaks in vegetative cells, initiation of meiotic DSBs, telomere maintenance, and nonhomologous end joining; forms nuclear foci upon DNA replication stress
ATG2	Peripheral membrane protein required for autophagic vesicle formation; also required for vesicle formation during pexophagy and the cytoplasm-to-vaucole targeting (Cvt) pathway; involved in Atg9p cycling between the phagophore assembly site and mitochondria; essential for cell cycle progression from G2/M to G1 under nitrogen starvation; forms cytoplasmic foci upon DNA replication stress
CHS1	Chitin synthase I, requires activation from zymogenic form in order to catalyze the transfer of N-acetylglucosamine (GlcNAc) to chitin; required for repairing the chitin septum during cytokinesis; transcription activated by mating factor
APC1	Largest subunit of the Anaphase-Promoting Complex/Cyclosome; APC/C is a ubiquitin-protein ligase required for degradation of anaphase inhibitors, including mitotic cyclins, during the metaphase/anaphase transition; component of the platform domain of the APC/C, based on structural analysis; localizes to nuclear foci that become diffuse upon DNA replication stress
KRE33	Essential protein, required for biogenesis of the small ribosomal subunit; heterozygous mutant shows haploinsufficiency in K1 killer toxin resistance
POL1	Catalytic subunit of the DNA polymerase I alpha-primase complex, required for the initiation of DNA replication during mitotic DNA synthesis and premeiotic DNA synthesis
NST1	Protein of unknown function, mediates sensitivity to salt stress; interacts physically with the splicing factor Msl1p and also displays genetic interaction with MSL1
