state,timestamp,season,number_mariages,year
Baden-Württemberg,1,spring,16376,1990
Bayern,1,spring,19976,1990
Berlin,1,spring,6194,1990
Brandenburg,1,spring,5074,1990
Bremen,1,spring,1155,1990
Hamburg,1,spring,2720,1990
Hessen,1,spring,9966,1990
Mecklenburg-Vorpommern,1,spring,4177,1990
Niedersachsen,1,spring,13555,1990
Nordrhein-Westfalen,1,spring,30531,1990
Rheinland-Pfalz,1,spring,6743,1990
Saarland,1,spring,1752,1990
Sachsen,1,spring,8654,1990
Sachsen-Anhalt,1,spring,5795,1990
Schleswig-Holstein,1,spring,5184,1990
Thüringen,1,spring,4757,1990
Baden-Württemberg,2,spring,12234,2003
Bayern,2,spring,14667,2003
Berlin,2,spring,2986,2003
Brandenburg,2,spring,2514,2003
Bremen,2,spring,795,2003
Hamburg,2,spring,1684,2003
Hessen,2,spring,7205,2003
Mecklenburg-Vorpommern,2,spring,2004,2003
Niedersachsen,2,spring,10103,2003
Nordrhein-Westfalen,2,spring,20542,2003
Rheinland-Pfalz,2,spring,4755,2003
Saarland,2,spring,1090,2003
Sachsen,2,spring,3765,2003
Sachsen-Anhalt,2,spring,2325,2003
Schleswig-Holstein,2,spring,4127,2003
Thüringen,2,spring,2056,2003
Baden-Württemberg,3,spring,11230,2010
Bayern,3,spring,13712,2010
Berlin,3,spring,2849,2010
Brandenburg,3,spring,2891,2010
Bremen,3,spring,669,2010
Hamburg,3,spring,1697,2010
Hessen,3,spring,6145,2010
Mecklenburg-Vorpommern,3,spring,2538,2010
Niedersachsen,3,spring,8848,2010
Nordrhein-Westfalen,3,spring,17989,2010
Rheinland-Pfalz,3,spring,4404,2010
Saarland,3,spring,915,2010
Sachsen,3,spring,4186,2010
Sachsen-Anhalt,3,spring,2399,2010
Schleswig-Holstein,3,spring,3825,2010
Thüringen,3,spring,2387,2010
Baden-Württemberg,4,spring,10232,2011
Bayern,4,spring,12715,2011
Berlin,4,spring,2835,2011
Brandenburg,4,spring,2559,2011
Bremen,4,spring,632,2011
Hamburg,4,spring,1620,2011
Hessen,4,spring,5775,2011
Mecklenburg-Vorpommern,4,spring,2172,2011
Niedersachsen,4,spring,7959,2011
Nordrhein-Westfalen,4,spring,16600,2011
Rheinland-Pfalz,4,spring,4032,2011
Saarland,4,spring,919,2011
Sachsen,4,spring,3667,2011
Sachsen-Anhalt,4,spring,2256,2011
Schleswig-Holstein,4,spring,3393,2011
Thüringen,4,spring,2136,2011
Baden-Württemberg,5,spring,11199,2012
Bayern,5,spring,13901,2012
Berlin,5,spring,3102,2012
Brandenburg,5,spring,2762,2012
Bremen,5,spring,635,2012
Hamburg,5,spring,1667,2012
Hessen,5,spring,6176,2012
Mecklenburg-Vorpommern,5,spring,2392,2012
Niedersachsen,5,spring,8634,2012
Nordrhein-Westfalen,5,spring,18200,2012
Rheinland-Pfalz,5,spring,4494,2012
Saarland,5,spring,1057,2012
Sachsen,5,spring,4134,2012
Sachsen-Anhalt,5,spring,2431,2012
Schleswig-Holstein,5,spring,3649,2012
Thüringen,5,spring,2306,2012
Baden-Württemberg,6,spring,11344,2013
Bayern,6,spring,14317,2013
Berlin,6,spring,3163,2013
