"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"A_23_P52017"	"1"	"0.000652"	"-6.3849783"	"-4.51"	"-4.13820625"	"ASPM"	"abnormal spindle microtubule assembly"
"A_23_P374695"	"1"	"0.000758"	"6.2085846"	"-4.51"	"3.17180627"	"TEK"	"TEK receptor tyrosine kinase"
"A_23_P115872"	"1"	"0.003177"	"-4.704116"	"-4.52"	"-3.3804092"	"CEP55"	"centrosomal protein 55"
"A_23_P401"	"1"	"0.003225"	"-4.689744"	"-4.52"	"-3.5304068"	"CENPF"	"centromere protein F"
"A_32_P103815"	"1"	"0.003579"	"-4.5914117"	"-4.52"	"-2.10067785"	"IL17RA"	"interleukin 17 receptor A"
"A_23_P425954"	"1"	"0.003582"	"4.5904612"	"-4.52"	"2.24093963"	"BCL2L11"	"BCL2 like 11"
"A_23_P112220"	"1"	"0.004249"	"4.431923"	"-4.52"	"2.47230622"	"INSL4"	"insulin like 4"
"A_23_P118815"	"1"	"0.004388"	"-4.4024575"	"-4.52"	"-2.87409805"	"BIRC5"	"baculoviral IAP repeat containing 5"
"A_24_P137563"	"1"	"0.005401"	"-4.2146708"	"-4.53"	"-2.28978318"	"SCLT1"	"sodium channel and clathrin linker 1"
"A_23_P312300"	"1"	"0.005475"	"4.2023973"	"-4.53"	"2.29140335"	"SCGB2A1"	"secretoglobin family 2A member 1"
"A_24_P887615"	"1"	"0.005544"	"4.1913545"	"-4.53"	"2.64674126"	""	""
"A_32_P60635"	"1"	"0.005582"	"-4.1852041"	"-4.53"	"-2.18726017"	"C11orf97"	"chromosome 11 open reading frame 97"
"A_23_P122197"	"1"	"0.006703"	"-4.0242409"	"-4.53"	"-2.2569144"	"CCNB1"	"cyclin B1"
"A_24_P238525"	"1"	"0.006933"	"-3.9948539"	"-4.53"	"-1.8568243"	""	""
"A_23_P48570"	"1"	"0.007176"	"-3.9651252"	"-4.53"	"-1.82781987"	"DHRS2"	"dehydrogenase/reductase 2"
"A_23_P65757"	"1"	"0.00743"	"-3.9350737"	"-4.53"	"-3.09280925"	"CCNB2"	"cyclin B2"
"A_23_P258769"	"1"	"0.007604"	"3.9152381"	"-4.53"	"1.76015447"	"HLA-DPB1"	"major histocompatibility complex, class II, DP beta 1"
"A_24_P201936"	"1"	"0.008219"	"-3.8487405"	"-4.53"	"-2.3101868"	"GTF2A1"	"general transcription factor IIA subunit 1"
"A_23_P381351"	"1"	"0.008279"	"-3.8425292"	"-4.53"	"-2.01582161"	"CSH1"	"chorionic somatomammotropin hormone 1"
"A_24_P565496"	"1"	"0.008367"	"3.8335533"	"-4.53"	"2.48219801"	""	""
"A_23_P124417"	"1"	"0.008892"	"-3.782061"	"-4.53"	"-2.69990675"	"BUB1"	"BUB1 mitotic checkpoint serine/threonine kinase"
"A_24_P297539"	"1"	"0.009277"	"-3.7464708"	"-4.53"	"-2.94855445"	""	""
