transcript	chr	strand	start	end	exon	gene
NM_000016.5	chr1	+	75724787	75762763	12	ACADM
NM_000028.2	chr1	+	99851042	99921651	34	AGL
NM_000029.3	chr1	-	230703140	230710850	5	AGT
NM_000036.2	chr1	-	114673113	114695570	16	AMPD1
NM_000066.3	chr1	-	56929403	56965948	12	C8B
NM_000069.2	chr1	-	201039830	201112339	44	CACNA1S
NM_000081.3	chr1	-	235662939	235830417	53	LYST
NM_000085.4	chr1	+	16044492	16056916	20	CLCNKB
NM_000098.2	chr1	+	53196943	53213595	5	CPT2
NM_000110.3	chr1	-	97078975	97920922	23	DPYD
NM_000120.3	chr1	+	225828729	225845347	9	EPHX1
NM_000130.4	chr1	-	169514312	169586386	25	F5
NM_000143.3	chr1	-	241497827	241519722	10	FH
NM_000147.4	chr1	-	23845714	23868286	8	FUCA1
NM_000157.3	chr1	-	155234994	155241112	11	GBA
NM_000186.3	chr1	+	196652117	196747313	22	CFH
NM_000191.2	chr1	-	23802462	23825415	9	HMGCL
NM_000198.3	chr1	+	119415419	119422620	4	HSD3B2
NM_000228.2	chr1	-	209615270	209650944	23	LAMB3
NM_000254.2	chr1	+	236795703	236897644	33	MTR
NM_000261.1	chr1	-	171635924	171652611	3	MYOC
NM_000298.5	chr1	-	155290571	155301395	11	PKLR
NM_000299.3	chr1	+	201283702	201328836	15	PKP1
NM_000300.3	chr1	-	19975700	19978773	6	PLA2G2A
NM_000302.3	chr1	+	11934779	11974808	19	PLOD1
NM_000309.3	chr1	+	161166847	161171176	13	PPOX
NM_000310.3	chr1	-	40074060	40097238	9	PPT1
NM_000329.2	chr1	-	68429775	68449905	14	RPE65
NM_000350.2	chr1	-	93993236	94121045	50	ABCA4
NM_000364.3	chr1	-	201359209	201373254	16	TNNT2
NM_000374.4	chr1	+	45012265	45015498	10	UROD
NM_000396.3	chr1	-	150796798	150806805	8	CTSK
NM_000403.3	chr1	-	23795948	23799007	12	GALE
NM_000427.2	chr1	+	153260949	153261888	2	LOR
NM_000433.3	chr1	-	183556117	183590329	15	NCF2
NM_000437.3	chr1	-	25961988	25990816	11	PAFAH2
NM_000447.2	chr1	+	226881907	226895579	13	PSEN2
NM_000449.3	chr1	-	151342185	151346320	11	RFX5
NM_000450.2	chr1	-	169725743	169733612	14	SELE
NM_000478.5	chr1	+	21554081	21577648	12	ALPL
NM_000488.3	chr1	-	173903888	173917259	7	SERPINC1
NM_000491.3	chr1	+	22659456	22661386	3	C1QB
NM_000530.7	chr1	-	161305875	161309905	6	MPZ
NM_000537.3	chr1	-	204155015	204166293	10	REN
NM_000549.4	chr1	+	115033362	115034227	3	TSHB
NM_000560.3	chr1	+	110891408	110899195	8	CD53
NM_000561.3	chr1	+	109687873	109693295	8	GSTM1
NM_000562.2	chr1	+	56854901	56917716	11	C8A
NM_000565.3	chr1	+	154405629	154465380	10	IL6R
NM_000566.3	chr1	+	149782743	149791517	6	FCGR1A
NM_000567.2	chr1	-	159713524	159714485	2	CRP
NM_000569.6	chr1	-	161543011	161549844	5	FCGR3A
NM_000570.4	chr1	-	161624514	161631094	6	FCGR3B
NM_000572.2	chr1	-	206768635	206772435	5	IL10
NM_000573.3	chr1	+	207496267	207639409	39	CR1
NM_000574.4	chr1	+	207321765	207359610	10	CD55
NM_000639.2	chr1	+	172659201	172666016	4	FASLG
NM_000642.2	chr1	+	99851042	99921651	34	AGL
NM_000643.2	chr1	+	99851042	99921651	34	AGL
NM_000644.2	chr1	+	99851042	99921651	34	AGL
NM_000645.2	chr1	+	99861471	99921651	32	AGL
NM_000646.2	chr1	+	99852669	99921651	34	AGL
NM_000651.4	chr1	+	207496267	207639409	47	CR1
NM_000655.4	chr1	-	169691783	169711537	9	SELL
NM_000674.2	chr1	+	203128841	203165900	4	ADORA1
NM_000677.3	chr1	-	111499949	111503354	2	ADORA3
NM_000696.3	chr1	-	165663049	165698558	11	ALDH9A1
NM_000699.3	chr1	+	103617440	103625746	10	AMY2A
NM_000701.7	chr1	+	116373511	116404444	23	ATP1A1
NM_000702.3	chr1	+	160115861	160141322	23	ATP1A2
NM_000707.3	chr1	-	206110188	206116890	2	AVPR1B
NM_000715.3	chr1	+	207113025	207144717	12	C4BPA
NM_000716.3	chr1	+	207089531	207099929	6	C4BPB
NM_000721.3	chr1	+	181483744	181798834	47	CACNA1E
NM_000734.3	chr1	-	167431680	167518465	8	CD247
NM_000740.2	chr1	+	239907451	239909224	5	CHRM3
NM_000748.2	chr1	+	154568044	154575932	6	CHRNB2
NM_000757.5	chr1	+	109911023	109925189	9	CSF1
NM_000760.3	chr1	-	36466356	36479496	17	CSF3R
NM_000775.3	chr1	-	59893650	59926746	9	CYP2J2
NM_000778.3	chr1	-	46930114	46941433	12	CYP4A11
NM_000779.3	chr1	+	46799081	46818814	12	CYP4B1
NM_000792.6	chr1	+	53894210	53909999	4	DIO1
NM_000815.4	chr1	+	2019423	2030282	9	GABRD
NM_000831.3	chr1	-	36801850	37034108	16	GRIK3
NM_000848.3	chr1	+	109668115	109674836	8	GSTM2
NM_000849.4	chr1	-	109737070	109740287	9	GSTM3
NM_000850.4	chr1	+	109656389	109661254	8	GSTM4
NM_000851.3	chr1	+	109712312	109717426	8	GSTM5
NM_000858.5	chr1	+	228145512	228148697	9	GUK1
NM_000862.2	chr1	+	119507476	119514645	4	HSD3B1
NM_000864.4	chr1	-	23193085	23194219	1	HTR1D
NM_000871.2	chr1	+	19665753	19679368	3	HTR6
NM_000906.3	chr1	+	153679108	153693414	22	NPR1
NM_000911.3	chr1	+	28812383	28863283	3	OPRD1
NM_000929.2	chr1	+	20084830	20090692	5	PLA2G5
NM_000952.4	chr1	-	28149992	28151021	2	PTAFR
NM_000959.3	chr1	+	78492743	78536687	3	PTGFR
NM_000963.3	chr1	-	186674352	186680290	10	PTGS2
NM_000969.3	chr1	+	92832114	92841865	8	RPL5
NM_000975.3	chr1	+	23691823	23696373	6	RPL11
NM_000983.3	chr1	-	6186671	6199573	4	RPL22
NM_001001396.2	chr1	+	203683205	203739571	22	ATP2B4
NM_001001430.2	chr1	-	201359209	201373254	16	TNNT2
NM_001001431.2	chr1	-	201359209	201373254	15	TNNT2
NM_001001432.2	chr1	-	201359209	201373254	15	TNNT2
NM_001001523.1	chr1	-	151807471	151825936	10	RORC
NM_001001552.4	chr1	-	205381734	205420536	4	LEMD1
NM_001001653.2	chr1	-	43385041	43387505	7	MED8
NM_001001734.1	chr1	+	160177520	160186699	5	ATP1A4
NM_001001740.3	chr1	-	175945152	176206978	19	RFWD2
NM_001001821.1	chr1	-	248573800	248574757	1	OR2T34
NM_001001824.1	chr1	-	248649930	248650884	1	OR2T27
NM_001001827.1	chr1	-	248638286	248639258	1	OR2T35
NM_001001914.1	chr1	+	247605585	247606515	1	OR2G3
NM_001001915.1	chr1	+	247588359	247589313	1	OR2G2
NM_001001918.1	chr1	+	248348774	248349713	1	OR14C36
NM_001001933.1	chr1	+	75130714	75160895	10	LHX8
NM_001001957.2	chr1	+	247895586	247896531	1	OR2W3
NM_001001959.1	chr1	-	247840927	247841896	1	OR11L1
NM_001001963.1	chr1	+	247948857	247949796	1	OR2L8
NM_001001964.1	chr1	-	248626177	248627128	1	OR2T11
NM_001001966.1	chr1	-	247814799	247815729	1	OR14A16
NM_001001998.2	chr1	-	11066717	11099831	25	EXOSC10
NM_001002273.2	chr1	+	161663241	161677553	7	FCGR2B
NM_001002274.2	chr1	+	161663241	161677553	7	FCGR2B
NM_001002275.2	chr1	+	161663241	161677553	8	FCGR2B
NM_001002292.3	chr1	-	68098631	68232299	12	WLS
NM_001002294.2	chr1	+	171092658	171117442	9	FMO3
NM_001002810.3	chr1	+	148889753	148932292	4	PDE4DIP
NM_001002811.2	chr1	+	148952780	148992260	19	PDE4DIP
NM_001002812.2	chr1	+	148889753	148992260	23	PDE4DIP
NM_001002901.3	chr1	+	161722672	161727662	8	FCRLB
NM_001002912.4	chr1	-	74571116	74673519	15	ERICH3
NM_001003665.3	chr1	+	226548904	226602040	4	STUM
NM_001003679.3	chr1	+	65565565	65633169	20	LEPR
NM_001003680.3	chr1	+	65565565	65630405	20	LEPR
NM_001003682.3	chr1	-	29120904	29121828	2	TMEM200B
NM_001004023.1	chr1	+	206636951	206648965	4	DYRK3
NM_001004128.2	chr1	+	180154907	180197341	13	QSOX1
NM_001004136.1	chr1	+	248452797	248453772	1	OR2T2
NM_001004303.4	chr1	-	56719670	56819290	20	C1orf168
NM_001004310.2	chr1	+	159802424	159815661	10	FCRL6
NM_001004319.2	chr1	-	156298769	156299189	1	VHLL
NM_001004339.2	chr1	+	52842883	52892957	14	ZYG11A
