ID	type	qualifier	systematicName	geneSymbol	alias	parent.feature.name	secondary.sgdid	chromosome	start	stop	strand	genetic.position	coordinate.version	sequence.version	description
S000028864	telomeric_repeat		TEL01L-TR			chromosome 1		1	62	1	C	NA	2003-09-09	2003-09-09	Terminal stretch of telomeric repeats on the left arm of Chromosome I
S000002143	gene	Dubious	YAL069W			chromosome 1		1	335	649	W	NA	1996-07-31	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000031098	CDS					YAL069W		1	335	649	W	NA	1996-07-31	1996-07-31	
S000028866	X_element_combinatorial_repeats		TEL01L-XR			chromosome 1		1	336	63	C	NA	2003-09-09	2003-09-09	Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats
S000028594	gene	Dubious	YAL068W-A			chromosome 1		1	538	792	W	NA	2003-07-29	2003-07-29	Dubious open reading frame unlikely to encode a protein; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000031372	CDS					YAL068W-A		1	538	792	W	NA	2003-07-29	2003-07-29	
S000121252	ARS		ARS102		ARSI-1	chromosome 1		1	650	1791		NA	2007-03-07	2007-03-07	Autonomously Replicating Sequence
S000028862	telomere		TEL01L			chromosome 1		1	801	1	C	-64	2003-09-09	2003-09-09	Telomeric region on the left arm of Chromosome I; composed of an X element core sequence, X element combinatorial repeats, and a short terminal stretch of telomeric repeats
S000028865	X_element_core_sequence		TEL01L-XC			chromosome 1		1	801	337	C	NA	2003-09-09	2003-09-09	Telomeric X element Core sequence on the left arm of Chromosome I; contains an ARS consensus sequence, an Abf1p binding site consensus sequence and two small overlapping ORFs (YAL068W-A and YAL069W)
S000034593	ARS consensus sequence					TEL01L-XC		1	763	753	C	NA	2003-09-09	2003-09-09	
S000034594	binding_site					TEL01L-XC		1	544	532	C	NA	2003-09-09	2003-09-09	
S000002142	gene	Verified	YAL068C	PAU8		chromosome 1		1	2169	1807	C	NA	1996-07-31	1996-07-31	Protein of unknown function, member of the seripauperin multigene family encoded mainly in subtelomeric regions
S000030944	CDS					YAL068C		1	2169	1807	C	NA	1996-07-31	1996-07-31	
S000028593	gene	Uncharacterized	YAL067W-A			chromosome 1		1	2480	2707	W	NA	2003-07-29	2003-07-29	Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
S000031368	CDS					YAL067W-A		1	2480	2707	W	NA	2003-07-29	2003-07-29	
S000121253	ARS		ARS103		ARSI-8	chromosome 1		1	7997	8547		NA	2011-02-03	2007-03-07	Autonomously Replicating Sequence
S000000062	gene	Verified	YAL067C	SEO1		chromosome 1	L000003363	1	9016	7235	C	NA	2011-02-03	1996-07-31	Putative permease, member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
S000029932	CDS					YAL067C		1	9016	7235	C	NA	2011-02-03	1996-07-31	
S000000061	gene	Dubious	YAL066W			chromosome 1		1	10091	10399	W	NA	2011-02-03	1996-07-31	Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data
S000029887	CDS					YAL066W		1	10091	10399	W	NA	2011-02-03	1996-07-31	
S000001817	gene	Uncharacterized	YAL065C			chromosome 1		1	11951	11565	C	NA	2011-02-03	1996-07-31	Putative protein of unknown function; has homology to FLO1; possible pseudogene
S000037154	CDS					YAL065C		1	11951	11565	C	NA	2011-02-03	1996-07-31	
S000002141	gene	Uncharacterized	YAL064W-B			chromosome 1		1	12046	12426	W	NA	2011-02-03	1999-07-17	Fungal-specific protein of unknown function
S000034793	CDS					YAL064W-B		1	12046	12426	W	NA	2011-02-03	1999-07-17	
S000002140	gene	Uncharacterized	YAL064C-A	TDA8	YAL065C-A	chromosome 1		1	13743	13363	C	NA	2011-02-03	1996-07-31	Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
S000031541	CDS					YAL064C-A		1	13743	13363	C	NA	2011-02-03	1996-07-31	
S000000060	gene	Verified	YAL064W			chromosome 1		1	21566	21850	W	NA	2011-02-03	1996-07-31|2011-02-03	Protein of unknown function; may interact with ribosomes, based on co-purification experiments
S000037087	CDS					YAL064W		1	21566	21850	W	NA	2011-02-03	1996-07-31|2011-02-03	
S000006787	long_terminal_repeat		YALWdelta1			chromosome 1		1	22230	22552	W	NA	2011-02-03	2000-05-19	Ty1 LTR
S000028813	gene	Uncharacterized	YAL063C-A			chromosome 1		1	22685	22395	C	NA	2011-02-03	2003-07-29	Putative protein of unknown function; identified by expression profiling and mass spectrometry
S000033613	CDS					YAL063C-A		1	22685	22395	C	NA	2011-02-03	2003-07-29	
S000000059	gene	Verified	YAL063C	FLO9		chromosome 1	L000003331	1	27968	24000	C	NA	2011-02-03	1996-07-31	Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation
S000036982	CDS					YAL063C		1	27968	24000	C	NA	2011-02-03	1996-07-31	
S000118317	ARS		ARS104		ARSI-31	chromosome 1		1	30946	31183		NA	2011-02-03	2006-08-30	Autonomously Replicating Sequence
S000000058	gene	Verified	YAL062W	GDH3	glutamate dehydrogenase (NADP(+)) GDH3|FUN51	chromosome 1	L000000698	1	31567	32940	W	NA	2011-02-03	1996-07-31	NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog, GDH1, that arose from the whole genome duplication
S000036963	CDS					YAL062W		1	31567	32940	W	NA	2011-02-03	1996-07-31	
S000000057	gene	Uncharacterized	YAL061W	BDH2	putative dehydrogenase BDH2	chromosome 1		1	33448	34701	W	NA	2011-02-03	1996-07-31	Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3
S000036902	CDS					YAL061W		1	33448	34701	W	NA	2011-02-03	1996-07-31	
S000000056	gene	Verified	YAL060W	BDH1	(R,R)-butanediol dehydrogenase|(2R,3R)-2,3-butanediol dehydrogenase|BDH	chromosome 1		1	35155	36303	W	NA	2011-02-03	1996-07-31|2011-02-03	NAD-dependent (R,R)-butanediol dehydrogenase, catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin, oxidation of meso-butanediol to (3S)-acetoin, and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source
S000036089	CDS					YAL060W		1	35155	36303	W	NA	2011-02-03	1996-07-31|2011-02-03	
